question,choices,answer
"Find the quotient of (50 + j35) / (8 + j5)","[""6.47 \u2220 3\u00b0"",""4.47 \u2220 3\u00b0"",""7.47 \u2220 30\u00b0"",""2.47 \u2220 53\u00b0""]",0
"Three vectors A, B and C are related as follows: A / B = 2 at 180°, A + C = -5 + j15, C = conjugate of B. Find A.","[""5 \u2013 j5"",""-10 + j10"",""10 \u2013 j10"",""15 + j15""]",1
"Evaluate cosh [j(π/4)]","[""0.707"",""1.41 + j0.866"",""0.5 + j0.707"",""j0.707""]",0
"Evaluate cosh [j(π/3)]","[""0.5 + j1.732"",""j0.866"",""j1.732"",""0.5 + j0.866""]",2
"Evaluate ln (2 + j3)","[""1.34 + j0.32"",""2.54 + j0.866"",""2.23 + j0.21"",""1.28 + j0.98""]",3
"Evaluate the terms of a Fourier series 2 e<sup>j10πt</sup> + 2 e<sup>-j10πt</sup> at t = 1.","[""2 + j"",""2"",""4"",""2 + j2""]",2
"What relation can you draw from these series?","[""e<sup>x<\/sup> = cos x + sin x"",""e<sup>ix<\/sup> = cos x + i sin x"",""e<sup>ix<\/sup> = icos x + sin x"",""ie<sup>x<\/sup> = icos x + i sin x""]",1
"One term of a Fourier series in cosine form is 10 cos 40πt. Write it in exponential form.","[""5 e<sup>j40\u03c0t<\/sup>"",""5 e<sup>j40\u03c0t<\/sup> + 5 e<sup>-j40\u03c0t<\/sup>"",""10 e<sup>-j40\u03c0t<\/sup> 0"",""10 e<sup>j40\u03c0t<\/sup>""]",1
"Given the equations: x + y + z = 2, 3x – y – 2z = 4, 5x – 2y + 3z = -7. Solve for y by determinants.","[""1"",""-2"",""3"",""0""]",2
"Solve the equations by Cramer’s Rule: 2x – y + 3z = -3, 3x + 3y – z = 10, -x – y + z = -4.","[""(2, 1, -1)"",""(2, -1, -1)"",""(1, 2, -1)"",""(-1, -2, 1)""]",2
"k divided by s<sup>2</sup> + k<sup>2</sup> is the inverse Laplace transform of,","[""cos kt"",""sin kt"",""e<sup>kt<\/sup>"",""1.0""]",1
"The Laplace transform of cos wt is,","[""s \/ (s<sup>2<\/sup> + w<sup>2<\/sup>)"",""w \/ (s<sup>2<\/sup> + w<sup>2<\/sup>)"",""w \/ (s + w)"",""s \/ (s + w)""]",0
"Find the laplace transform of [ 2 / (s + 1) ] – [ 4 / (s + 3) ].","[""2e<sup>-t<\/sup> \u2013 4e<sup>-3t<\/sup>"",""e<sup>-2t<\/sup> + e<sup>-3t<\/sup>"",""e<sup>-2t<\/sup> \u2013 e<sup>-3t<\/sup>"",""(2e<sup>-t<\/sup>) (1 \u2013 2e<sup>-3t<\/sup>)""]",0
"Determine the inverse Laplace transform of I(s) = 200 / (s<sup>2</sup> – 50s + 10625)","[""I(s) = 2e<sup>-25t<\/sup> sin 100t"",""I(s) = 2te<sup>-25t<\/sup> sin 100t"",""I(s) = 2e<sup>-25t<\/sup> cos 100t"",""I(s) = 2te<sup>-25t<\/sup> cos 100t""]",0
"The inverse Laplace transform of s / ( s<sup>2</sup> + w<sup>2</sup> )","[""sin wt"",""w"",""e<sup>wt<\/sup>"",""cos wt""]",3
"The inverse Laplace transform of ( 2s – 18 ) / ( s<sup>2</sup> + 9 )","[""2 cos x \u2013 sin 3x"",""2 cos 3x \u2013 6 sin 3x"",""3 cos 2x \u2013 2 sin 6x"",""6 cos x \u2013 3 sin 2x""]",1
"Determine the inverse Laplace transform of 1 / ( 4s<sup>2</sup> – 8s ).","[""\u00bc e<sup>t<\/sup> sinh t"",""\u00bd e<sup>2t<\/sup> sinh t"",""\u00bc e<sup>t<\/sup> cosh t"",""\u00bd e<sup>2t<\/sup> cosh t""]",0
