question,A,B,C,D,E,answer,explanation
<p>A saw which cuts wood during the return stroke of the saw is known as</p>,push saw,pull saw or draw saw,,,,B,
<p>The low pressure acetylene is produced at the welding site by the chemical reaction between water and calcium carbonate.</p>,Correct,Incorrect,,,,B,
<p>The fullers are used</p>,for finishing flat surfaces,for necking down a piece of work,for punching a hole,to finish the punched hole,,B,
<p>The cold chisels are made by</p>,drawing,rolling,piercing,forging,,D,
<p>The property of sand due to which it evolves a great amount of steam and other gases is called</p>,collapsibility,permeability,cohesiveness,adhesiveness,,B,
"<p>The centrifugal casting method, is used for casting articles of</p>",symmetrical shape about vertical axis,symmetrical shape about horizontal axis,irregular shape,non-ferrous metal only,,B,
<p>Metal patterns are used for</p>,small castings,large castings,complicated castings,large scale production of castings,,D,
"<p>The instrument which has all the features of try-square, bevel protractor, rule and scriber, is</p>",outside micrometer,inside micrometer,depth gauge micrometer,combination set,,D,
"<p>When a hole or cavity to be cored is not in line with the parting surface, then a __________ is used.</p>",horizontal core,vertical core,drop core,balanced core,,C,
<p>The bloom is smaller than a billet.</p>,True,False,,,,B,
"<p>In average work, the tolerance produced by investment casting method is</p>",±0.05 mm,+0.2 mm,+05 mm,+1 mm,,A,
<p>The purpose of a riser is to</p>,deliver molten metal into the mould cavity,act as a reservoir for the molten metal,feed the molten metal to the casting in order to compensate for the shrinkage,deliver the molten metal from pouring basin to gate,,C,
<p>The blank diameter used in thread rolling will be</p>,equal to minor diameter of the thread,equal to pitch diameter of the thread,a little larger than the minor diameter of the thread,a little larger than the pitch diameter of the thread,,C,
<p>The cross-section of a chisel is usually</p>,rectangular,square,hexagonal,octagonal,,D,
<p>A plug gauge is used to check the diameter of shafts and studs.</p>,Correct,Incorrect,,,,B,
"<p>In back-hand welding, the angle between the welding torch and the work is kept as</p>",30°-40°,40°-50°,50°-60°,60°-70°,,B,
<p>The machining allowance provided on patterns depends upon</p>,type of casting metal,size and shape of casting,method of casting used,all of these,,D,
"<p>In submerged arc welding, an arc is produced between a</p>",carbon electrode and the work,metal electrode and the work,bare metal electrode and the work,two tungsten electrodes and the work,,C,
<p>In shielded arc welding</p>,large electrode is used,welding rod coated with slag is used,welding rod coated with fluxing material is used,none of the above,,C,
"<p>In a die casting method, the molten metal is forced into mould under high pressure.</p>",Correct,Incorrect,,,,A,
"<p>In a centrifugal casting method, the impurities are collected in the centre of the casting.</p>",Yes,No,,,,A,
<p>In a hot chamber die casting machine</p>,melting pot is separate from the machine,melting pot is an integral part of the machine,melting pot may have any location,high temperature and pressure is used,,B,
<p>The electrodes used in spot welding have a tip of</p>,stainless steel,aluminium,copper,brass,,C,
<p>Blanking and piercing operations can be performed simultaneously in a</p>,simple die,progressive die,compound die,combination die,,C,
<p>A pattern maker's shrinkage rule considers</p>,all pattern allowances,only shrinkage allowance,all materials to be cast,all materials of the pattern,,B,
<p>The tolerance produced by shell moulding process of casting is</p>,+0.05 mm,±0.2 mm,+0.5 mm,±1 mm,,B,
<p>Galvanising is a</p>,zinc diffusion process,process of coating zinc by hot dipping,process used for making thin phosphate coating on steel,none of the above,,B,
<p>The ferrous metals require more machining allowance than non-ferrous metals.</p>,True,False,,,,A,
"<p>In a four high rolling mill, there are four rolls out of which</p>",one is working roll and three are backing up rolls,two are working rolls and two are backing up rolls,three are working rolls and one is backing up roll,all of the four are working rolls,,B,
"<p>When a pattern is made in three parts, the bottom part is known as a cope.</p>",True,False,,,,B,
"<p>In __________ welding, the weld may be made either from left to right or from right to left.</p>",fore-hand,back-hand,vertical,,,C,
