question,A,B,C,D,E,answer,explanation
"<p>Willian's line follows the law (where <i>b</i> = A constant representing the shape of the Willian's line, <i>a</i> = Another constant i.e. no load consumption per hour, <i>I</i>.<i>P</i>. = Indicated power, and <i>m</i> = Steam consumption per hour)</p>",<i>I</i>.<i>P</i>. = <i>a</i> x <i>m</i> + <i>b</i>,<i>m</i> = <i>a</i> + <i>b</i> x <i>I</i>.<i></i><i>P</i>.,<i>I</i>.<i>P</i>. = <i>b</i> x <i>m</i> + <i>a</i>,<i>m</i> = <i>b</i>/<i>I</i>.<i>P</i>. - <i>a</i>,,B,
"<p>When the total heat of steam is <i>h</i> kJ/kg and the sensible heat of feed water is <i>h</i><sub><i>f</i>1</sub> kJ/kg, then the factor of evaporation is given by</p>","<img src=""/_files/images/mechanical-engineering/steam-boilers-and-engines/287-111-1.png""/>","<img src=""/_files/images/mechanical-engineering/steam-boilers-and-engines/287-111-2.png""/>","<img src=""/_files/images/mechanical-engineering/steam-boilers-and-engines/287-111-3.png""/>",none of these,,A,
<p>The selection of type and size of a steam boiler depends upon</p>,the power required and working pressure,the geographical position of the power house,the fuel and water available,all of the above,,D,
<p>The maximum steam pressure in a Locomotive boiler is limited to</p>,0.18 MN/m<sup>2</sup>,1.8 MN/m<sup>2</sup>,18 MN/m<sup>2</sup>,180 MN/m<sup>2</sup>,,B,
<p>The high pressure and low pressure cylinders in a receiver type compound engine are regarded as having cranks</p>,180° to each other,90° to each other,0° to each other,none of these,,B,
<p>The main object of a boiler trial is</p>,to determine the generating capacity of the boiler,to determine the thermal efficiency of the boiler when working at a definite pressure,to prepare heat balance sheet for the boiler,all of the above,,D,
<p>The artificial draught is produced by</p>,steam jet,centrifugal fan,chimney,both (a) and (b),,D,
<p>The draught is the __________ of pressures above and below the fire grate.</p>,sum,difference,,,,B,
<p>The function of an eccentric is to provide __________ motion to the slide valve.</p>,reciprocating,rotary,,,,A,
<p>The water tubes in a Babcock and Wilcox boiler are</p>,vertical,horizontal,inclined,,,C,
"<p>In case of condensing steam engines, the pressure of steam in the cylinder during exhaust stroke is __________ the atmospheric pressure.</p>",equal to,lower than,higher than,,,C,
<p>Blow off cock in a boiler is used to</p>,control the flow of steam from the boiler to the main pipe and to shut off the steam completely when required,"empty the boiler when required and to discharge the mud, scale or sediments which are accumulated at the bottom of the boiler",put off fire in the furnace of the boiler when the level of water in the boiler falls to an unsafe limit,increase the temperature of saturated steam without raising its pressure,,B,
"<p>The cut-off ratio is the reciprocal of expansion ratio,</p>",Correct,Incorrect,,,,A,
"<p>In a receiver type compound engine, the high pressure and low pressure cylinders</p>",have common piston rod,are set at 90°,have separate piston rods,are set in <i>V</i> - arrangement,,C,
<p>The damper in a steam boiler is provided to control the draught (i.e. rate of flow of air) and thus regulate the rate of generation of steam.</p>,Correct,Incorrect,,,,A,
<p>The clearance in the engine cylinder</p>,increases the mean effective pressure,increases the workdone,decreases the efficiency of the engine,all of these,,D,
<p>Which of the following is not a boiler mounting?</p>,Blow off cock,Feed check valve,Economiser,Fusible plug,,C,
<p>The ratio of the clearance volume to the swept volume is called</p>,cut-off ratio,expansion ratip,clearance ratio,none of these,,C,
<p>The air pressure at the fuel bed is reduced below that of atmosphere by means of a fan placed at or near the bottom of the chimney to produce a draught. Such a draught is called</p>,natural draught,induced draught,forced draught,balanced draught,,B,
<p>The Locomotive boiler has</p>,137 fire tubes and 44 superheated tubes,147 fire tubes and 34 superheated tubes,157 fire tubes and 24 superheated tubes,167 fire tubes and 14 superheated tubes,,C,
<p>The shell of the Cochran boiler is made hemispherical</p>,to give maximum space and strength,to withstand the pressure of steam inside the boiler,both (a) and (b),none of the above,,C,
<p>A __________ in a boiler is used to put off fire in the furnace of the boiler when the level of water in the boiler falls to an unsafe limit.</p>,blow off cock,fusible plug,stop valve,safety valve,,B,
"<p>Willian's law holds good for throttle-governed engine, but not for cut-off governed engine.</p>",True,False,,,,A,
<p>Which of the following is required for a steam condensing plant ?</p>,Condenser,Condensate pump,Air extraction pump,all of these,,D,
<p>The missing quantity is mainly due to cylinder condensation and a small amount of steam leakage past the valves and piston.</p>,Agree,Disagree,,,,A,
<p>There is always some steam left in the clearance space from the previous stroke. This steam left in the clearance space is called</p>,wet steam,saturated steam,superheated steam,cushion steam,,D,
<p>The ratio of the volume at cut-off to the swept volume is called</p>,cut-off ratio,expansion ratio,clearance ratio,none of these,,A,
<p>The function of a D-slide valve is to exhaust steam from the cylinder at proper moment.</p>,Correct,Incorrect,,,,A,
<p>The mechanical draught produces more draught than natural draught.</p>,True,False,,,,A,
<p>The water tube boilers produce steam at a __________ pressure than that of fire tube boilers.</p>,lower,higher,,,,B,
<p>The mechanical draught __________ with the amount of smoke.</p>,increases,decreases,does not effect,,,B,
"<p>When the expansion of steam is carried out in a single cylinder and then exhausted into the atmosphere or a condenser, the engine is said to be a simple steam engine.</p>",Correct,Incorrect,,,,A,
