question,choices,answer
"A goldsmith has two alloys of gold, the first being 70% pure and the second being 60% pure. How many ounces of the 60% pure gold must be used to make 100 ounces of an alloy which will be 66% gold?","[""40"",""35"",""45"",""38""]",0
"Two thousand (2000) kg of steel containing 8% nickel is to be made by mixing a steel containing 14% nickel with another containing 6% nickel. How much of each is needed?","[""1500 kg of steel with 14% nickel, 500 kg of steel with 6% nickel"",""750 kg of steel with 14% nickel, 1250 kg of steel with 6% nickel"",""500 kg of steel with 14% nickel, 1500 kg of steel with 6% nickel"",""1250 kg of steel with 14% nickel, 750 kg of steel with 6% nickel""]",2
"How much water must be evaporated from 10 kg solution which has 4% salt to make a solution of 10% salt?","[""4 kg"",""5 kg"",""6 kg"",""7 kg""]",2
"If a two digit number has x for its unit’s digit and y for its ten’s digit, represent the number.","[""10x + y"",""10y + x"",""yx"",""xy""]",1
"One number is 5 less that the other. If their sum is 135, what are the numbers?","[""85, 50"",""80, 55"",""70, 65"",""75, 60""]",2
"<b>Problem 33: ECE Board March 1996</b>","[""6"",""7"",""8"",""9""]",0
"The sum of the two numbers is 21 and one number is twice the other. Find the numbers.","[""6, 15"",""7, 14"",""8, 13"",""9, 12""]",1
"If eight is added to the product of nine and the numerical number, the sum is seventy-one. Find the unknown number.","[""5"",""6"",""7"",""8""]",2
"Find the fraction such that if 2 is subtracted from its term becomes ¼, but if 4 is added to its terms it becomes ½.","[""3\/5"",""5\/12"",""5\/14"",""6\/13""]",2
"The product of 1/4 and 1/5 of a number is 500. What is the number?","[""50"",""75"",""100"",""125""]",2
"If 3 is subtracted from the numerator of a certain fraction, the value of the fraction becomes 3/5. If 1 is subtracted from the denominator of the same fraction, it becomes 2/3. Find the original fraction.","[""35\/55"",""36\/55"",""3\/7"",""32\/41""]",1
"The denominator of a certain fraction is three more than twice the numerator. If 7 is added to both terms of the fraction, the resulting fraction is 3/5. Find the original fraction.","[""8\/5"",""13\/5"",""5\/13"",""3\/5""]",2
"Find the product of two numbers such that twice the first added to the second equals 19 and three times the first is 21 more than the second.","[""24"",""32"",""18"",""20""]",0
"The ten’s digit of a number is 3 less than the unit’s digit. If the number is divided by the sum of the digits, the quotient is 4 and the remainder is 3. What is the original number?","[""36"",""47"",""58"",""69""]",1
"The second of the four numbers is three less than the first the third is four more than the first and the fourth is two more than the third. Find the fourth number if their sum is 35.","[""10"",""11"",""12"",""13""]",3
"A jogger starts a course at a steady rate of 8 kph. Five minutes later, a second jogger starts the same course at 10 kph. How long will it take the second jogger to catch the first?","[""20 min"",""21 min"",""22 min"",""18 min""]",0
"A boat man rows to a place 4.8 miles with the stream and back in 14 hours, but finds that he can row 14 miles with the stream in the same time as 3 miles against the stream. Find the rate of the stream.","[""1.5 miles per hour"",""1 mile per hour"",""0.8 mile per hour"",""0.6 mile per hour""]",2
"A man rows downstream at the rate of 5 mph and upstream at the rate of 2 mph. How far is downstream should he go if he is to return in 7/4 hours after leaving?","[""2.5 miles"",""3.3 miles"",""3.1 miles"",""2.7miles""]",0
"An airplane flying with the wind, took 2 hours to travel 1000 km and 2.5 hours in flying back. What was the wind velocity in kph?","[""50"",""60"",""70"",""40""]",0
"A boat travels downstream in 2/3 of the time as it goes going upstream. If the velocity of the river’s current is 8 kph, determine the velocity of the boat in still water.","[""40 kph"",""50 kph"",""30 kph"",""60 kph""]",0
"Two planes leave Manila for a southern city, a distance of 900 km. Plane A travels at a ground speed of 90 kph faster than the plane B. Plane A arrives in their destination 2 hours and 15 minutes ahead of Plane B. What is the ground speed of Plane A.","[""205 kph"",""315 kph"",""240 kph"",""287 kph""]",2
"A train, an hour after starting, meets with an accident which detains it an hour, after which it proceeds at 3/5 of its former rate and arrives three hour after time; but had the accident happened 50 miles farther on the line, it would have arrived one and one-half hour sooner. Find the length of the journey.","[""910\/9 miles"",""800\/9 miles"",""920\/9 miles"",""850\/9 miles""]",1
"On a certain trip, Edgar drives 231 km in exactly the same time as Edwin drive 308 km. If Erwin’s rate exceeded that of Edgar by 13 kph, determine the rate of Erwin.","[""39 kph"",""44 kph"",""48 kph"",""52 kph""]",3
"Peter’s age 13 years ago was 1/3 of his age 7 years hence. How old is Peter?","[""15"",""21"",""23"",""27""]",2
"A man is 41 years old and in seven years he will be four times as old as his son is at that time. How old is his son now?","[""9"",""4"",""5"",""8""]",2
"A father is three times as old as his son. Four years ago, he was four times as old as his son was at that time. How old is his son?","[""36 years"",""24 years"",""32 years"",""12 years""]",3
"The ages of the mother and her daughter are 45 and 5 years, respectively. How many years will the mother be three times as old as her daughter?","[""5"",""10"",""15"",""20""]",2
"Mary is 24 years old. Mary is twice as old as Ana was when Mary was as old as Ana is now. How old is Ana? (ECE November 1995)","[""16"",""18"",""19"",""20""]",1
"The sum of the parent’s ages is twice the sum of their children’s ages. Five years ago, the sum of the parent’s ages is four times the sum of their children’s ages. In fifteen years the sum of the parent’s ages will be equal to the sum of their children’s ages. How many children were in the family?","[""2"",""3"",""4"",""5""]",3
"Two thousand kilogram of steel containing 8% of nickel is to be made by mixing steel containing 14% nickel with another steel containing 6% nickel. How much of the steel containing 14% nickel is needed?","[""1500 kg"",""800 kg"",""750 kg"",""500kg""]",3
"A 40-gram alloy containing 35% gold is to be melted with a 20-gram alloy containing 50% gold. How much percentage of gold is the resulting alloy?","[""40%"",""30%"",""45%"",""35%""]",0
"In what radio must a peanut costing P240.00 per kg. be mixed with a peanut costing P340.00 per kg so that the profit of 20% is made by selling the mixture at 360.00 per kg?","[""1:2"",""3:2"",""2:3"",""3:5""]",2
"A 100-kilogram salt solution originally 4% by weight. Salt in water is boiled to reduce water content until the concentration is 5% by weight salt. How much water is evaporated?","[""10"",""15"",""20"",""25""]",2
"A pound of alloy of lead and nickel weights 14.4 ounces in water, where lead losses 1/11 of its weight and nickel losses 1/9 of its weight. How much of each metal is in alloy?","[""Lead = 7.2 ounces; Nickel = 8.8 ounces"",""Lead = 8.8 ounces; Nickel = 7.2 ounces"",""Lead = 6.5 ounces; Nickel = 5.4 ounces"",""Lead = 7.8 ounces; Nickel = 4.2 ounces""]",1
"An alloy of silver and gold weighs 15 oz. in air and 14 oz. in water. Assuming that silver losses 1/10 of its weight in water and gold losses 1/18 of its weight, how many oz. at each metal are in the alloy?","[""Silver = 4.5 oz.; Gold = 10.5 oz."",""Silver = 3.75 oz.; Gold = 11.25 oz."",""Silver = 5 oz.; Gold = 10 oz."",""Silver = 7.8 oz.; Gold = 4.2 oz.""]",1
"A pump can pump out a tank in 11 hours. Another pump can pump out the same tank in 20 hours. How long it will take both pumps together to pump out the tank?","[""\u00bd hour"",""\u00bd hour"",""6 hours"",""7 hours""]",3
"Brown can wash his car in 15 minutes, while his son John takes twice as long as the same job. If they work together, how many minutes can they do the washing?","[""6"",""8"",""10"",""12""]",2
"One pipe can fill a tank in 5 hours and another pipe can fill the same tank in 4 hours. A drainpipe can empty the full content of the tank in 20 hours. With all the three pipes open, how long will it take to fill the tank?","[""2 hours"",""2.5 hours"",""1.92 hours"",""1.8 hours""]",1
"A swimming pool is filled through its inlet pipe and then emptied through its outlet pipe in a total of 8 hours. If water enters through its inlet and simultaneously allowed to leave through its outlet, the pool is filled in 7 ½ hours. Find how long will it take to fill the pool with the outlet closed.","[""6"",""2"",""3"",""5""]",2
"Three persons can do a piece of work alone in 3 hours, 4 hours and 6 hours respectively. What fraction of the job can they finish in one hour working together?","[""\u00be"",""4\/3"",""\u00bd"",""2\/3""]",0
"A father and his son can dig a well if the father works 6 hours and his son works 12 hours or they can do it if the father works 9 hours and son works 8 hours. How long will it take for the son to dig the well alone?","[""5 hours"",""10 hours"",""15 hours"",""20 hours""]",3
"Peter and Paul can do a certain job in 3 hours. On a given day, they work together for 1 hour then Paul left and Peter finishes the rest work in 8 more hours. How long will it take for Peter to do the job alone?","[""10 hours"",""11 hours"",""12 hours"",""13 hours""]",2
"Pedro can paint a fence 50% faster than Juan and 20% faster than Pilar and together they can paint a given fence in 4 hours. How long will it take Peter to paint the same fence if he had to work alone?","[""10 hrs."",""11hrs."",""13hrs."",""15hrs.""]",0
"Nonoy can finish a certain job in 10 days if Imelda will help for 6 days. The same work can be done by Imelda in 12 days if Nonoy helps for 6 days. If they work together, how long will it take for them to do the job?","[""8.9"",""8.4"",""9.2"",""8""]",1
"A pipe can fill up a tank with the drain open in three hours. If the pipe runs with the drain open for one hour and then the drain is closed it will take 45 more minutes for the pipe to fill the tank. If the drain will be closed right at the start of filling, how long will it take for the pipe to fill the tank?","[""1.15 hrs."",""1.125 hrs"",""1.325 hrs."",""1.525 hrs.""]",1
"Delia can finish a job in 8 hours. Daisy can do it in 5 hours. If Delia worked for 3 hours and then Daisy was asked to help her finish it, how long will Daisy have to work with Delia to finish the job?","[""2\/5 hours"",""25\/14 hours"",""28 hours"",""1.923 hours""]",3
"A job could be done by eleven workers in 15 days. Five workers started the job. They were reinforced with four more workers at the beginning of the 6th day. Find the total number of days it took them to finish the job.","[""22.36"",""21.42"",""23.22"",""20.56""]",3
"On one job, two power shovels excavate 20000 m3 of earth, the larger the shovel working for 40 hours and the smaller shovel for 35 hours. Another job, they removed 40000 m<sup>3</sup> with the larger shovel working for 70 hours and the smaller working 90 hours. How much earth can the larger shovel move in one hour?","[""173.91"",""347.83"",""368.12"",""162.22""]",0
"A and B can do a piece of work in 42 days, B and C in 31 days, and A and C in 20 days. Working together, how many days can all of them finish the work?","[""18.9"",""19.4"",""17.8"",""20.9""]",0
"Eight men can dig 150 ft of trench in 7 hrs. Three men can backfill 100ft of the trench in 4 hrs. The time it will take 10 men to dig and fill 200 ft of trench is:","[""9.867 hrs."",""9.687 hrs."",""8.967 hrs."",""8.687 hrs.""]",0
"In two hours, the minute hand of the clock rotates through an angle of :","[""45\u00b0"",""90\u00b0"",""360\u00b0"",""720\u00b0""]",3
"In one day (24 hours), how many times will the hour hand and minute hand of a continuously driven clock be together","[""21"",""22"",""23"",""24""]",1
"How many minutes after 3:00 will the minute hand of the clock overtakes the hour hand?","[""14\/12 minutes"",""16-11\/12 minutes"",""16-4\/11 minutes"",""14\/11 minutes""]",2
"How many minutes after 10:00 o’clock will the hands of the clock be opposite of the other for the first time?","[""21.41"",""22.31"",""21.81"",""22.61""]",2
"What time between the hours of 12:00 noon and 1:00 pm would the hour hand and the minute hand of a continuously driven clock be in straight line?","[""12:33 pm"",""12:30 pm"",""12:37 pm"",""12:287 pm""]",0
"At what time after 12:00 noon will the hour hand and the minute hand of a clock first form a n angle of 120°?","[""21.818"",""12:21.818"",""21.181"",""12:21.181""]",3
"From the time 6:15 PM to the time 7:45 PM of the same day, the minute hand of a standard clock describes an arc of:","[""360\u00b0"",""120\u00b0"",""540\u00b0"",""720\u00b0""]",2
"It is now between 3 and 4 o’clock and in twenty minutes the minute hand will be as much as the hour-hand as it is now behind it. What is the time now?","[""3:06.06"",""3:07.36"",""3:09.36"",""3:08.36""]",0
"A man left his home at past 3:00 o’clock PM as indicated in his wall clock. Between two to three hours after, he returned home and noticed that the hands of the clock interchanged. At what time did he left his home?","[""3:27.27"",""3:31.47"",""3:22.22"",""3:44.44""]",1
"The sum of the reciprocals of two numbers is 11. Three times the reciprocal of one of the numbers is three more than twice the reciprocal of the other number. Find the numbers.","[""5 and 6"",""7 and 4"",""1\/5 and 1\/6"",""1\/7 and \u00bc""]",2
"If a two digit number has x for its unit’s digit and y for its ten’s digit, represent the number.","[""yx"",""10y + x"",""10x + y"",""x + y""]",1
"One number if five less than the other number. If their sum is 135, what are the numbers?","[""70 &amp; 75"",""60 &amp; 65"",""65 &amp; 70"",""75 &amp; 80""]",2
"In a two-digit number, the unit’s digit is 3 greater than the ten’s digit. Find the number if it is 4 times as large as the sum of its digits.","[""47"",""58"",""63"",""25""]",2
"Find two consecutive even integers such that the square of the larger is 44 greater than the square of the smaller integer.","[""10 &amp; 12"",""12 &amp; 14"",""8 &amp; 10"",""14 &amp; 16""]",0
"Twice the middle digit of a three-digit number is the sum of the other two. If the number is divided by the sum of its digit, the answer is 56 and the remainder is 12. If the digits are reversed, the number becomes smaller by 594. Find the number.","[""258"",""567"",""852"",""741""]",2
"The product f three consecutive integers is 9240. Find the third integer.","[""20"",""21"",""22"",""23""]",2
"The product if two numbers is 1400. If three (3) is subtracted from each number, their product becomes 1175. Find the bigger number.","[""28"",""50"",""32"",""40""]",1
"The sum of the digits of the three-digit number is 14. The hundreds digit being 4 times the units digit. If 594 is subtracted from the number, the order of the digits will be reversed. Find the number.","[""743"",""563"",""653"",""842""]",3
"The sum of two numbers is 21, and one number is twice the other. Find the numbers.","[""7 and 14"",""6 and 15"",""8 and 13"",""9 and 12""]",0
"Ten less than four times a certain number is 14. Determine the number.","[""4"",""5"",""6"",""7""]",2
"The denominator of a certain fraction is three more than twice the numerator. If 7 is added to both terms of the fraction, the resulting fraction is 3/5. Find the original fraction.","[""8\/5"",""5\/13"",""13\/5"",""3\/5""]",1
"Three times the first of the three consecutive odd integers is three more than twice the third. Find the third integer.","[""9"",""11"",""13"",""15""]",3
"A man fires a target 420 m away hears the bullet strikes to 2 second after he pulled the trigger. An observer 525 m away from the target and 455 m from the man heard the bullet strike the target one second after he heard the report of the rifle. Find the velocity of the bullet.","[""525 m\/s"",""360 m\/s"",""350 m\/s"",""336 m\/s""]",0
"A man travels in a motorized banca at rate of 12 kph from his barrio to the poblacion and come back to his barrio at the rate of 10 kph. If his total time of travel back and forth is 3 hours and 10 minutes, the distance from the barrio to the poblacion is :","[""17.27 km"",""17.72 km"",""12.77 km"",""17.32 km""]",0
"It takes Michael 60 seconds to run around a 440-yard track. How long does it take Jordan to run around the track if they meet in 32 second after they start together in a race around the track in opposite direction?","[""58.76 seconds"",""68.57 seconds"",""65.87 seconds"",""86.57 seconds""]",1
"Juan can walk from his home to his office at the rate of 5 mph and back at the rate 2 mph. What is his average speed in mph?","[""2.86"",""3.56"",""4.12"",""5.89""]",0
"Kim and Ken traveled at the same time at the rate of 20 m/min,from the same point on a circular track of radius 600 m. If Kim walks along a circumference and Kim towards the center,find their distance after 10 minutes.","[""193 m"",""202 m"",""241 m"",""258 m""]",3
"Two ferryboats ply back and forth across a river with constant but different speeds, turning at the river banks without loss of time. They leave the opposite shores at the same instant, meet for the first time 900 meters from one shore, and meet for the second time 500 meters from the opposite shore. What is the width of the river?","[""1500 m"",""1700 m"",""2000 m"",""2200 m""]",3
"A boat takes 2/3 as much time to travel downstream from C to D, as to return, If the rate of the river’s current is 8 kph, what is the speed of the boat in still water?","[""38"",""39"",""40"",""41""]",2
"A man rows downstream at the rate of 5mph and upstream at the rate of 2 mph. How far downstream should he go if he is to return in 7/4 hours after leaving?","[""2 mi"",""3.5 mi"",""3 mi"",""2.5 mi""]",3
"A jogger starts a course at a steady rate of 8 kph. Five minutes later, a second jogger the same course at 10 kph. How long will it take for the second jogger to catch the first?","[""20 min"",""25 min"",""30 min"",""35 min""]",0
"At 2:00 pm, an airplane takes off at 340mph on an aircraft carrier. The aircraft carrier moves due south at 25kph in the same direction as the plane. At 4:05 pm, the communication between the plane and aircraft carrier was lost. Determine the communication range in miles between the plane and the carrier.","[""656 miles"",""785 miles"",""557 miles"",""412 miles""]",0
"A boat going across a lake 8 km wide proceed 2 km at a certain speed and then completes the trip at a speed 1/2 kph faster. By doing this, the boat arrives 10 minutes earlier than if the original speed had been maintained. Find the original speed of the boat.","[""2 kph"",""4 kph"",""9 kph"",""5 kph""]",1
"Given that w varies directly as the product of x and y and inversely as the square of z and that w = 4 when x = 2, y = 6, and z = 3. Find w when x = 1, y = 4 and z = 2.","[""4"",""2"",""1"",""3""]",3
"If x varies directly as y and inversely as z, and x = 14 when y = 7 and z = 2, find x, when z = 4 and y = 16.","[""14"",""4"",""16"",""8""]",2
"The electrical resistance of a cable varies directly as its length and inversely as the square of its diameter. If a cable 600 meters long and 25 mm in diameter has a resistance of 0.1 ohm, find the length of the cable 75 mm in diameter with resistance of 1/6 ohm.","[""6000 m"",""7000 m"",""8000 m"",""9000 m""]",3
"The electrical resistance offered by an electric wire varies directly as the length and inversely as the square of the diameter of the wire. Compare the electrical resistance offered by two pieces of wire of the same material, one being 100 m long and 5 mm diameter, and the other is 50 m long and 3 mm in diameter.","[""R1 = 0.57 R2"",""R1 = 0.72 R2"",""R1 = 0.84 R2"",""R1 = 0.95 R2""]",1
"The time required for an elevator to lift a weight varies directly with the weight and the distance through which it is to be lifted and inversely as the power of the motors. If it takes 20 seconds for a 5-hp motor to lift 50 lbs. through 40 feet, what weight can an 80-hp motor lift through a distance of 40 feet within 30 seconds?","[""1000 lbs."",""1150 lbs."",""1175 lbs."",""1200 lbs.""]",3
"The time required by an elevator to lift a weight, vary directly with the weight and the distance through which it is to be lifted and inversely as the power of the motor. If it takes 30 seconds for a 10-hp motor to lift 100lbs through 50 feet, what size of motor is requires to lift 800 lbs. in 40 seconds through a distance of 40 feet?","[""48 hp"",""50 hp"",""56 hp"",""58 hp""]",0
"In a certain department store, the salary of saleslady is partly constant and varies as the value of her sales for the month, when the value of her sales for the month is P10000.00, her salary for that month is P900.00. When her sales goes up to P 2000.00 her monthly salary goes up to P1000.00. What must be the value of her sales for the month so that her salary for that month will be P2000.00?","[""P25000.00"",""P28000.00"",""P32000.00"",""P36000.00""]",2
"A man sold 100 eggs, eighty of them were sold at gain of 30% while the twenty eggs were sold at a loss of 40%. What is the percentage gain or loss of the whole eggs?","[""14%"",""15%"",""16%"",""17%""]",2
"The population of the country increases 5% each year. Find the percentage it will increase in three years.","[""5%"",""15%"",""15.15%"",""15.76%""]",3
"Pedro bought two cars, one for P600000.00 and the other for P400000.00. He sold the first at a gain of 10% and the second at a loss of 12%. What was his total percentage gain or loss?","[""6% gain"",""0% gain"",""1.20% gain"",""6% loss""]",2
"A grocery owner raises the prices of his goods by 10%. Then he starts his Christmas sale by offering the customers a 10% discount. How many percent of discount does the customers actually get?","[""nothing"",""1% discount"",""9% discount"",""they pay 1% more""]",1
"Kim sold a watch for P3500.00 at a loss of 30% on the cost price. Find the corresponding loss or gain if he sold it for P5050.00.","[""1% loss"",""10% loss"",""1% gain"",""10% gain""]",2
"By selling balut at P5.00 each, a vendor gains 20%. The cost price of egg rises by 12.5%. If he sells the balut at the same price as before, find his new gain in percent.","[""7.5%"",""5%"",""8%"",""6.25%""]",3
"The enrollment at college A and college B both grew up by 8% from 1980 to 1985. If the enrollment in college A grew up by 800 and the enrollment in college B grew up by 840, the enrollment at college B was how much greater than the enrollment in college A in 1985?","[""650"",""504"",""483"",""540""]",3
"A group consists of n boys and n girls. If two of the boys are replaced by two other girls, then 49% of the group members will be boys. Find the value of n.","[""100"",""49"",""50"",""51""]",0
"On his Christmas Sale, a merchant marked a pair of slipper P180.00, which is 20% off the normal retail price. If the retail price is 50% higher than the whole sale price, what is the wholesale price of the slipper?","[""P18.00"",""P17.00"",""P15.00"",""P22.50""]",2
"A certain XEROX copier produces 13 copies every 10 seconds. If the machine operates without interruption, how many copies will it produce in an hour?","[""780"",""46800"",""1835"",""4680""]",3
"At a certain printing plant, each of the machines prints 6 newspapers every second. If all machines work together but independently without interruption, how many minutes will it take to print the entire 18000 newspapers? ( Hint: let x = number of machines)","[""50x"",""3000\/x"",""50\/x"",""3000x""]",2
"A manufacturing firm maintains one product assembly line to produce signal generators. Weekly demand for the generators is 35 units. The line operates for 7 hours per day, 5 days per week. What is the maximum production time per unit in hours required for the line to meet the demand?","[""1 hour"",""0.75 hour"",""3 hours"",""2.25 hours""]",0
"Of the 316 people watching a movie, there a re 78 more children than women and 56 more women than men. The number of men in the movie house is:","[""176"",""98"",""42"",""210""]",2
"A certain department store has an inventory of Q units of a certain product at time t=0. The store sells the product at a steady rate of Q/A units per week, and exhausts the inventory in A weeks. The amount of product in inventory at any time t is:","[""Q \u2013 (Q\/A) t"",""Q + (Q\/A) t"",""Qt \u2013 Q\/A"",""Qt \u2013 (Q\/A) t""]",0
"A merchant has three items on sale: namely, a radio for P50, a clock for P30, and a flashlight for P1. At the end of the day, she has sold a total of 100 of three items and has taken exactly 1000 on the total sales. How many radios did he sale?","[""80"",""4"",""16"",""20""]",2
"The price of 8 calculators ranges from P200 to P1000.If their average price is P950,what is the lowest possible price of any one of the calculators?","[""500"",""550"",""600"",""650""]",2
"A deck of 52 playing cards is cut into two piles. The first pile contains 7 times as many black cards as red cards. The second pile contains the number of red cards that is an exact multiple as the number of black cards. How many cards are there in the first pile.","[""14"",""15"",""16"",""17""]",2
"The population of the Philippines doubled in the last 30 years from 1967 to 1997.Assuming that the rate of population rate increase will remain the same in what year wills the population triple?","[""2030"",""2027"",""2021"",""2025""]",1
"Determine the unit digit in the expansion of 3855.","[""3"",""9"",""7"",""1""]",2
"Find the 1987th digit in the decimal equivalent of 1785/9999 starting from the decimal point.","[""1"",""7"",""8"",""5""]",2
"Find the sum of all positive integral factors of 2048.","[""4095"",""3065"",""4560"",""1254""]",0
"In how many ways can two integers be selected from the numbers 1,2,3,…50 so that their difference is exactly 5?","[""50"",""5"",""45"",""41""]",2
"A box contains 8 balls, 6 black balls.a8 red balls, and 13 yellow balls. How many balls must be drawn to ensure that there will be three balls of the same color?","[""8"",""9"",""10"",""11""]",3
"A shore sells 10 different sizes of shoes, each in both high-cut and low-cut variety, each either rubber or leather, and each with white or black color. How many different kinds of shoes does he sell?","[""64"",""80"",""72"",""92""]",1
"An engineer was told that a survey had been made on a certain rectangular field but the dimension had been lost .An assistant remembered that if the field had been 100 ft longer and 25 ft narrower, the area would have been increased by 2500 sq. ft, and that if it had been 100 ft shorter 50 ft wider, the area would have been decreased 5000 sq.ft. What was the area of the field?","[""25.000 ft<sup>2<\/sup>"",""15,000 ft<sup>2<\/sup>"",""20,000 ft<sup>2<\/sup>"",""22,000 ft<sup>2<\/sup>""]",2
"A 10-meter tape is 5 mm short. What is the correct length in meters?","[""9.995 m"",""10.05 m"",""9.95 m"",""10.005 m""]",0
"The distance between two points measured with a steel tape was recorded as 916.58 ft. later. The tape was checked and to be only 99.9 ft long. What is the true distance between the points?","[""035.66 ft"",""966.15 ft"",""955.66 ft"",""915.66 ft""]",3
"A certain steel tape is known to be 100000 feet long when the temperature of 70°F . When the tape is at a temperature of 10°F, what reading corresponds to a distance of 90 ft? Coefficient of linear expansion of the tape is 5.833 x 10-6 per °F.","[""85.935"",""88.031"",""90.031"",""93.031""]",2
"A line was measured with a steel tape when the temperature was 30°C. The measured length of the line was found to be 1,256.271 feet. The tape was afterwards tasted when the temperature was 10°C and it was found to be 100.042 feet long. What was the true length of the line if the coefficient of expansion of the tape was 0.000011 per °C?","[""1,275.075 feet"",""1,375.575 feet"",""1,256.547 feet"",""1,249.385 feet""]",2
