question,A,B,C,D,E,answer,explanation
<p>Pilot-carrier transmission is one in which</p>,only one sideband is transmitted,one sideband and carrier are transmitted,only two sidebands are transmitted,two sidebands as well as a trace of carrier are transmitted,,D,
<p>AM-SC stands for</p>,Amplitude Modulated-Suppressed Carrier,Amplitude Modulated-Single Carrier,Amplitude Modulated-Synchronous Carrier,Amplitude Modulated-Self Carrier,,A,
"<p>On a smooth surface, the line of sight distance between transmitting antenna (height <i>h<sub>t</sub></i> metres) and receiving antenna (height <i>h<sub>r</sub></i> metres) is about</p>","<img src=""/_files/images/electronics-and-communication-engineering/communication-systems/508-287-1.png""/>","<img src=""/_files/images/electronics-and-communication-engineering/communication-systems/508-287-2.png""/>","<img src=""/_files/images/electronics-and-communication-engineering/communication-systems/508-287-3.png""/>","<img src=""/_files/images/electronics-and-communication-engineering/communication-systems/508-287-4.png""/>",,D,
"<p>Which stage generates RF carrier? <br/><img src=""/_files/images/electronics-and-communication-engineering/communication-systems/543-1114-1.png""/></p>",Amplifier,Oscillator,Power supply,All of the above,,B,
"<p>In Modulation, ""carrier"" is</p>",resultant wave,speech voltage to be transmitted,"voltage with constant frequency, phase or amplitude","voltage for which frequency, phase or amplitude is varied",,D,
<p>Which one of the following blocks is not common in both AM and FM receivers?</p>,RF amplifier,Mixer,IF amplifier,Slope detector,,D,
"<p>If the variance σ<sub><i>x</i></sub><sup>2</sup> of <i>d</i>(<i>n</i>) = <i>x</i>(<i>n</i>) - <i>x</i>(<i>n</i> - 1) is one-tenth the variance σ<sub><i>x</i></sub><sup>2</sup> of a stationary zero mean discrete time signal <i>x</i>(<i>n</i>), then the normalized autocorrelation function R<sub><i>xx</i></sub>(<i>x</i>)/σ<sub><i>x</i></sub><sup>2</sup> at <i>k</i> = 1 is</p>",0.95,0.90,0.10,0.05,,C,
"<p>In FM, which one is correct?</p>",The total power is equal to carrier power at 100% modulation and diminish thereafter.,The carrier disappears at 100% modulation,"The total power is <img src=""/_files/images/electronics-and-communication-engineering/communication-systems/537-986-1.png""/> times the carrier power at 100% modulation",The total power of the carrier and sidebands is equal to the carrier power at any modulation index.,,D,
"<p>In FM, increased depth of modulation increases</p>",modulation,modulation index,bandwidth,all of the above,,D,
<p>Which of the following frequency is likely to be associated with AM radio broadcast?</p>,1000 kHz,100 MHz,500 MHz,10 GHz,,A,
<p>In which of the following schemes are several channels interleaved and transmitted together?</p>,TDM,FDM,group,subgroup,,B,
<p>The audio frequency range is</p>,5 Hz to 1 kHz,50 Hz to 20 kHz,16 Hz to 20 kHz,0 Hz to 20 kHz,,C,
<p>Which of the following is an indirect method of generating FM?</p>,Reactance BJT modulator,Armstrong modulation,Varactor diode modulation,Reactive FM modulator,,B,
<p>Figure of merit is always unity in</p>,AM,SSB-SC,FM,All,,B,
<p>Which of the following modulation is analog in nature?</p>,PCM,DPCM,DM,PDM,,D,
<p>In the spectrum of a FM wave</p>,the carrier frequency cannot disappear,the carrier frequency disappears when the modulation index is large,the amplitude of any sideband depends on the modulation index,the total number of sidebands depends on the modulation index,,C,
<p>The gap width in audio heads is about 0.01 mm.</p>,True,False,,,,B,
<p>The tuned circuit of the oscillator in a simple AM transmitter employs a 50 H coil and a 1 nanofarad capacitor. If the oscillator output is the carrier frequency will be</p>,448 kHz,555 kHz,625 kHz,712 kHz,,D,
"<p>In a low level AM system, the amplifier which follows the modulated stage must be the</p>",linear device,harmonic device,class C amplifier,non-linear device,,A,
"<p>In a square law modulator, the carrier frequency should be __________ times than the highest modulating frequency.</p>",1,2,4,3,,D,
<p>CSSB stands for</p>,Compatible Single Sideband,Compressed Single Sideband,Carrier Single Sideband,Coded Single Sideband,,A,
<p>Tropospheric scatter is used with frequencies in the range of</p>,VLF,HF,UHF,VHF,,B,
<p>The PAM Signal can be detected by</p>,Band pass filter,Band stop filter,High pass filter,Low pass filter,,D,
<p>FM is named so because</p>,it restrains the frequency excursions of FM,it increases the frequency excursions of FM,it decreases the amplitude of FM signal,it increases the amplitude of FM signal,,A,
"<p>Which statement is incorrect for the signal <i>x</i>(<i>t</i>) = 5 sin (2<span class=""symbol"">p</span> x 10<sup>3</sup><i>t</i>) sin (2<span class=""symbol"">p</span> x 10<sup>6</sup><i>t</i>)?</p>",Upper side band frequency is 1001000,Carrier amplitude is 5,Lower sideband frequency is 990000,<i>x</i>(<i>t</i>) is DSB-SC,,C,
"<p>In radio receivers, the value of IF is</p>",100 kHz,225 kHz,455 kHz,850 kHz,,C,
"<p>If F(ω) is Fourier transform of <i>f</i>(<i>t</i>), then Fourier transform of <i>f</i>(<i>t</i>) cos<sup>2</sup> ω<sub><i>c</i></sub><i>t</i> is</p>","<img src=""/_files/images/electronics-and-communication-engineering/communication-systems/56-3.94-2.png""/> F(ω) + <img src=""/_files/images/electronics-and-communication-engineering/communication-systems/56-3.94-3.png""/>[F(ω + 2ω<sub><i>c</i></sub>) + F(ω - 2ω<sub><i>c</i></sub>)]","F(ω) + <img src=""/_files/images/electronics-and-communication-engineering/communication-systems/56-3.94-3.png""/>[F(ω + 2ω<sub><i>c</i></sub>) + F(ω - 2ω<sub><i>c</i></sub>)]","F(ω) - <img src=""/_files/images/electronics-and-communication-engineering/communication-systems/56-3.94-3.png""/>[F(ω + 2ω<sub><i>c</i></sub>) + F(ω - 2ω<sub><i>c</i></sub>)]","<img src=""/_files/images/electronics-and-communication-engineering/communication-systems/56-3.94-2.png""/> F(ω) - <img src=""/_files/images/electronics-and-communication-engineering/communication-systems/56-3.94-3.png""/>[F(ω + 2ω<sub><i>c</i></sub>) + F(ω - 2ω<sub><i>c</i></sub>)]",,A,
