question,A,B,C,D,E,answer,explanation
<p>The probability of recombination of electrons and holes in a semiconductor is proportional to</p>,density of electrons,density of holes,density of electrons and holes,none of the above,,C,
<p><p><b>Assertion (A):</b>  The regular or irregular stacking of atoms has importanteffect on properties of materials.</p><p><b>Reason (R):</b>  The arrangement of atoms in a given material can be studied using X-rays.</p></p>,Both A and R are true and R is correct explanation of A,Both A and R are true but R is not correct explanation of A,A is true but R is false,A is false but R is true,,B,
"<p>If temperature is increased, the temperature coefficient of a metal</p>",increases,decreases,may increase or decrease,remains constant,,B,
<p>The application of magnetic field to superconducting material</p>,increases transition temperature,decreases transition temperature,has no effect on transition temperature,may increase or decrease the transition temperature,,B,
<p>Automobile ignition systems use the principle of</p>,resistance,self inductance,mutual inductance,capacitance,,C, <p>A high voltage is induced due to mutual inductance because the number of turns in secondary coil is very high.</p> 
"<p>In a valence crystal, the valence electrons</p>",are not shared,are shared between neighbouring atoms,are shared by all atoms,any of the above,,B," <p>In true valence crystals the binding between the atoms is accomplished by the sharing of valence electrons. </p>
<p>This sharing can only be between neighbouring atoms only.</p> "
<p>Transformer oil is</p>,refined vegetable oil,refined mineral oil,mixture of vegetable and mineral oil,none of the above,,B,
<p><p><b>Assertion (A):</b>  Drift velocity of electrons is proportional to the applied electric field E.</p><p><b>Reason (R):</b>  The average drift velocity per unit field is called mobility.</p></p>,Both A and R are true and R is correct explanation of A,Both A and R are true but R is not correct explanation of A,A is true but R is false,A is false but R is true,,B,
<p>The materials having low retentivity are suitable for making</p>,temporary smagnets,weak magnets,permanent magnets,both temporary and permanent magnets,,A,
"<p>If ∈<sub><i>r</i></sub> = ∈<sub><i>r</i></sub><sup><i>'</i></sup> - <i>j</i>∈<sub><i>r</i></sub><sup><i>""</i></sup> tan δ = <img src=""/_files/images/electronics-and-communication-engineering/materials-and-components/397-1.png""/>.</p>",True,False,,,,A,
"<p><p><b>Assertion (A):</b>  Electron concentration <i>n</i>, hole concentration <i>p</i> and charge concentration <i>n</i><sub><i>i</i></sub> are related by <i>n</i><sub><i>i</i></sub><sup>2</sup> = <i>np</i>.</p><p><b>Reason (R):</b> <i>p</i> type semiconductor is obtained by adding trivalent impurity to intrinsic semiconductor.</p></p>",Both A and R are true and R is correct explanation of A,Both A and R are true but R is not correct explanation of A,A is true but R is false,A is false but R is true,,B,
