question,A,B,C,D,E,answer,explanation
<p>An emitter-follower has ________ impedance at the input and ________ impedance at the output.</p>,"high, high","low, high","high, low","low, low",,C,
<p>________ refers to the forward transfer current ratio.</p>,h<sub>i</sub>,h<sub>r</sub>,h<sub>f</sub>,h<sub>o</sub>,,C,
"<p>For transistor amplifiers, the no-load voltage gain is ________ the loaded voltage gain.</p>",smaller than,greater than,the same as,None of the above,,B,
<p>The peak value of the ac input signal is controlled by the ________ in a transistor network for the frequencies in the low to midrange.</p>,resistors,applied dc voltage,capacitors,None of the above,,B,
"<p>In an emitter-follower, the output voltage is ________ with the input voltage.</p>",45º out of phase,90º out of phase,180º out of phase,in phase,,D,
<p>________ can be applied to determine the response of the ac equivalent circuit.</p>,Mesh analysis,Node analysis,Thevenin's theorem,All of the above,,D,
<p>The bypass capacitor in a common-emitter configuration ________ the voltage gain.</p>,significantly decreases,significantly increases,slightly increases,slightly decreases,,B,
<p>The loaded voltage gain of an amplifier is ________ the no-load level.</p>,always more than,always less than,always the same as,None of the above,,B,
<p>The common-emitter configuration has a ________ level of input impedance with a ________ voltage and current gain.</p>,"moderate, high","low, moderate","low, low","high, low",,A,
"<p>For a common-base configuration, the input impedance is relatively ________ and the output impedance quite ________.</p>","high, small","small, high","small, small","high, high",,B,
<p>The output voltage and the input voltage are ________ for the common-emitter configuration.</p>,in phase,45º out of phase,90º out of phase,180º out of phase,,D,
