question,A,B,C,D,E,answer,explanation
<p>Signal comparisons may be most easily seen when using which item of test equipment?</p>,spectrum analyzer,multimeter,function generator,dual trace oscilloscope,,D,
<p>The magnitude that an alternation varies from zero is called its:</p>,altitude,amplitude,attitude,polarity,,B,
<p>The power that is distributed from a power plant to your home is:</p>,high voltage to high voltage,low voltage to high voltage,high voltage to low voltage,low voltage to low voltage,,C,
<p>A rectangular wave that has a duty cycle of 50 percent could be called a:</p>,c wave,sawtooth wave,square wave,triangle wave,,C,
<p>A triangle wave consists of repeating:</p>,positive ramps only,negative ramps only,positive and negative ramps of equal value,positive and negative ramps of unequal value,,C,
<p>What is the name of a device used to directly measure the frequency of a periodic wave?</p>,oscilloscope,frequency meter or counter,audio frequency generator,radio frequency generator,,B,
<p>Which control should be moved to display more cycles of a signal on an oscilloscope?</p>,horizontal position to left or right,volts/cm to a smaller number,vertical position to top or bottom,time/cm to a higher setting,,D,
<p>What is the name of a device that converts sound waves to electrical waves?</p>,an amplifier,an antenna,a filter,a microphone,,D,
"<p>If the frequency of a radio wave is increased, then its wavelength will:</p>",increase,decrease,remain the same,cannot tell,,B,
<p>What is the rms voltage value of an ac signal whose peak oscilloscope display uses 3 major divisions above the zero setting? (V/cm = 5)</p>,5.3 V,10.6 V,15.0 V,21.2 V,,B,
<p>What is the peak-to-peak current value when an ammeter measures a 20 mA value?</p>,14 mA,28 mA,40 mA,57 mA,,D,
"<p>How long would it take to transmit an electromagnetic wave to a receiving antenna 1,000 miles away?</p>",5.38 ms,10.8 ms,53.8 ms,108 ms,,A,
<p>What is the waveform period of a square wave signal that horizontally covers 3 major divisions per cycle? (time/cm = 50 ms)</p>,50 ms,100 ms,150 ms,200 ms,,C,
<p>A sine wave has:</p>,four quadrants,two alternations,one period,all of the above,,D,
<p>What is the peak-to peak voltage of a 56 V<sub>rms</sub> ac voltage?</p>,158 V,164 V,82 V,79 V,,A,
<p>One oscilloscope selector knob that allows the major and minor divisions of the graticule to be used to determine a waveform period is called a:</p>,focus control,time/cm control,intensity control,volts/cm control,,B,
<p>What is the period of a 16 MHz sine wave?</p>,196 ns,62.5 ns,31.25 ns,19.9 ns,,B,
