question,A,B,C,D,E,answer,explanation
<p>The purpose of a balancer shaft is to</p>,balance the timing in the movement of the two groups of pistons,increase inertia force of the rotating crankshaft,reduce vibrations caused by the crankshaft rotation,adjust the timing of the intake and exhaust valve openings,,C,
<p>Free pedal play in car clutches is about</p>,15 mm,25 mm,40mm,60 mm,,B,
<p>The caster is called positive when the top of the king pin is inclined to the</p>,rear of the vehicle,front of the vehicle,left of the vehicle,right of the vehicle,,A,
<p>The main purpose of an engine's air cleaner is that it</p>,controls the engine's air intake volume,reduces the engine's air intake noise,prevents rain water from entering the engine,prevents dust and other foreign matter from entering the engine,,D,
<p>The device for smoothening out the power impulses from the engine is called</p>,clutch,differential,flywheel,torque converter,,C,
<p>The main function of a master cylinder is to</p>,adjust the extent of brake pedal free play,boost the force applied to brake pedal,convert brake pedal force into hydraulic pressure,ensure that all the wheel brakes are supplied with the same amount of fluid pressure,,C,
<p>The exhaust gas from petrol engine contains</p>,petrol vapours,water vapours,carbon monoxide,all of these,,D,
"<p>In case of a Diesel car, the pressure at the end of compression is of the order of</p>",15 bar,25 bar,35 bar,45 bar,,D,
<p>The effect of vapour locking on the brake performance is that the</p>,brakes function more effectively,brakes fail completely,brake operation is delayed after depression of the brake pedal,vapour locking has no effect on brake performance,,B,
<p>The connecting rod is attached to the piston by the</p>,cap bolt,piston pin,cap roller bearing,rod cap,,B,
<p>Clutch facings are usually attached to the plate by</p>,steel rivets,brass rivets,aluminium screws,steel screws,,B,
<p>The torque converter uses __________ to transfer torque.</p>,air,automatic transmission fluid (ATF),gears,steel belt,,B,
"<p>In a Diesel engine, the function of a fuel injector is to</p>",mix the fuel and air,ignite the air-fuel mixture,provide flame front for ignition,spray atomized fuel in the cylinder,,D,
<p>The firing order for an opposed four cylinder l.C. engine is</p>,1-2-3-4,1-3-4-2,1-4-3-2,1-3-24,,C,
<p>The function of positive crankcase ventilation (PCV) system is that it</p>,mixes fuel with air,promotes combustion by creating a swirling movement in the air-fuel mixture,returns blow-by gases from the crankcase to the intake system,feeds blow-by gases to the exhaust manifold,,C,
<p>The two kinds of piston rings are</p>,compression and oil-control rings,compression and sliding seal rings,oil scrapper and oil-control rings,pressure and sealing rings,,A,
<p>The maximum torque multiplication ratio in a torque converter is about</p>,2.5,10,25,40,,A,
<p>The sequence in which the force is transmitted through a brake system when the brake pedal is depressed is</p>,brake pedal - master cylinder - brake lines - vacuum servo mechanism - brake pads,brake pedal - vacuum servo mechanism - master cylinder - brake lines - brake pads,brake pedal - master cylinder - vacuum servo mechanism - brake lines - brake pads,brake pedal - brake lines - vacuum servo mechanism - master cylinder - brake pads,,B,
<p>The composition of the electrolyte in a fully charged battery is that</p>,the electrolyte is pure distilled water,the electrolyte is pure sulphuric acid,the electrolyte is a mixture of 64% distilled water and 36% sulphuric acid by weight,the electrolyte is a mixture of 90% distilled water and 10% sulphuric acid by weight,,C,
<p>The basic purpose of a four wheel drive (4WD) system is that it</p>,delivers improved cornering on dry road surfaces,"eliminates the need of snow tyres, tyre chains, etc.","ensures effective transmission of engine torque to all four wheels, even on slippery road surfaces","ensures that effective braking can be performed, even on slippery surfaces",,C,
<p>The heat transfer from coolant to air in the radiator of an automobile engine takes place by</p>,radiation only,convention only,convection and radiation,"conduction, convection and radiation",,C,
<p>The purpose of a thermostat in an engine cooling system is to</p>,prevent the coolant from boiling,allow the engine to warm up quickly,indicate the coolant temperature,pressurise the system to raise the boiling point,,B,
<p>The basic characteristics of a brake fluid is</p>,a high boiling point,low viscosity,compatibility with rubber and metal parts,all of these,,D,
<p>The petrol engine works on</p>,Otto cycle,Carnot cycle,Diesel cycle,Rankine cycle,,A,
<p>The gradient resistance to a vehicle having a mass of 980 kg moving on an incline of 10° is</p>,1.6694 N,16.694 N,166.94 N,1669.4 N,,D,
"<p>The reconditioning process used to give cylinder bore surfaces a cross-hatch pattern, is known as</p>",honing,porous plating,boring,shot peening,,A,
<p>The function of a radiator fan in the cooling system is that</p>,it blows air through the radiator when necessary,"it is turned by wind force as the vehicle moves forward, and its rotation drives the water pump",it cools the engine by blowing air onto the cylinder block,it draws heat out of the engine compartment,,A,
<p>The main function of an exhaust muffler is the</p>,optimisation of exhaust efficiency,reduction of exhaust noise,reduction of nitrogen oxide in the exhaust gases,reduction of the exhaust gas volume,,B,
<p>The characteristic that is enhanced by the honing of cylinder sleeves inner surface is</p>,cooling efficiency,resistance to wear,lubrication performance,none of these,,C,
"<p>Instead of valves, the ports are used in case of</p>",four stroke I.C. engines,two-stroke I.C. engines,V-6 engines,none of these,,B,
<p>The starting system includes</p>,"a battery, a starter, and an ignition switch","a battery, a distributor, and an ignition switch","a battery, a starter, and a distributor","a distributor, a starter, and an ignition switch",,A,
