<p>A 256 x 4 EPROM has</p>,8 address pins and 4 data pins,8 address pins and 8 data pins,4 address pins and 8 data pins,4 address pins and 4 data pins,,A, <p>2<sup>8</sup> = 256</p> 
<p>To evaluate X = (A + B + 1.2) * (A + B - C) the sequence of operation is</p>,+ + + - * =,* + + + - =,+ + - * + =,- + + + * =,,A, <p>Parenthesis has first priority.</p> 
<p>In <code>ALU 1C 74181</code> the addition and subtraction is in</p>,2's complement,1's complement,binary,none of the above,,A, <p>2's complement is universally used in computers.</p> 
<p>While selecting a memory chip the feature which should be examined is</p>,capacity,ac characteristics,dc characteristics,all of the above,,D, <p>All these characteristics are important.</p> 
<p>EEPROM permits</p>,read operation only,read and byte erase operations,"read, byte erase and byte write operations","read, byte erase, byte write and chip erase operations",,D, <p>All the four are permitted.</p> 
<p>Which is not a valid Java variable</p>,lot,c 1<i>t</i>,s $ 2,2 <i>s</i> $,,D, <p>The first letter of variable name should be lower case.</p> 
<p>Which of the following is invalid in Basic?</p>,A ** B + - C,A ** B - C,A * B - C,A * B - C ** D,,A, <p>Two operators cannot exist together.</p> 
"<p>If A = 20 and B = - 7 in PASCAL, A mod B =</p>",6,2,- 1,3,,A, <p>It gives remainder in division operation.</p> 
<p>Which of the following is a computer language?</p>,MS WORD,Page maker,MS EXCEL,LISP,,D, <p>LISP is a computer language. The remaining are software packages.</p> 
<p>Which of the following DO statements is invalid in FORTRAN 77?</p>,"DO 161 = 1, 15","DO 16 1 = 1, 10, 1","DO 16 I = - 5, 5, 2",none of the above,,D, <p>All are valid.</p> 
"<p>Read the following statements about files in Pascal <ol style=""list-style-type: decimal; padding-bottom:10px;""><li style=""padding-top:10px;"">A file is a data structure which consists of a sequence of components of the same type.</li><li style=""padding-top:10px;"">The number of components in a file is variable.</li><li style=""padding-top:10px;"">The components in a file can be accessed only sequentially starting from the beginning of the file.</li></ol> Which of the above are correct?</p>",All,1 and 2 only,2 and 3 only,1 and 3 only,,A, <p>All statements are true.</p> 
"<p>Consider the following C program int ram<br/><br/><code>float alpha, gamma<br/>ram = 6400<br/>alpha = 0.562<br/>gamma = alpha <sup>*</sup> ram + 1</code><br/><br/>Now consider the following statements about this program <ol style=""list-style-type: decimal; padding-bottom:10px;""><li style=""padding-top:10px;"">ram is an integer variable</li><li style=""padding-top:10px;"">alpha, gamma are real variables</li><li style=""padding-top:10px;"">*, + are arithmetic operators</li><li style=""padding-top:10px;"">0.562 may be an integer constant or real constant</li></ol> Which of the above are correct?</p>",All,"1, 2, 3 only","2, 3, 4 only","1, 2, 4 only",,B, <p>0.562 is not an integer constant.</p> 
<p>Which of the following is not an integer constant?</p>,0,-8,+1074,-8.1,,D, <p>Integer constant should not have decimal point.</p> 
"<p>Let JCOKE = 98 and LPEPSI = 42 Consider the statement <code><br/><br/>IF (JCOKE - 3 * LPEPSI) 5, 6, 7<br/>5 JCOKE = JCOKE + 5<br/>6 JCOKE = JCOKE + 8<br/>7 JCOKE = JCOKE + 11<br/><br/></code> The value of JCOKE after the execution of above statement will be</p>",103,106,109,none of the above,,A," <p>Since (J COKE - 3 x L PEPSI) is negative, statement 5 is executed and the result is 98 + 5 = 103.</p> "
<p>Which of the following is not a valid real constant in C?</p>,426,321.0,-621.231,+201.2314,,A, <p>Real constant must have a decimal point.</p> 
<p>Which of the following is not a valid integer constant in C (for 16 bit)?</p>,321,-162,-65321,+1,,C, <p>The range is from - 32768 to + 32767.</p> 
"<p>Assume that <i>x</i> = 5 and <i>y</i> = 2. Then in Java operation <i>x</i> + = <i>y</i>, the result is</p>",<i>x</i> = 7,<i>x</i> = 2,<i>x</i> = 3,<i>x</i> = 2,,A, <p>The operator + = means add and assign.</p> 
