question,A,B,C,D,E,answer,explanation
"<p>Consider the following statements about expressing real constants in exponential form in C<ol style=""list-style-type: decimal; padding-bottom:10px;""><li style=""padding-top:10px;"">The mantissa and exponent are separated either by e or E.</li><li style=""padding-top:10px;"">The mantissa and exponent may have positive or negative sign.</li><li style=""padding-top:10px;"">Default sign of mantissa is positive.</li><li style=""padding-top:10px;"">Default sign of exponent is negative.</li></ol> Which of the above statements are wrong?</p>",1 only,1 and 4 only,"1, 3 and 4 only",4 only,,B, <p><i>E</i> is not allowed and default sign of exponent is positive.</p> 
"<p>If F = 95.0 what will be the result of following FORTRAN 77 program? <code><br/><br/>REAL F , C<br/>READ * , F<br/>C = (5. / 9.) * (F - 32.)<br/></code></p>",35.0,35,25.0,25,,A," <p>(95 - 32)<img src=""/_files/images/electronics-and-communication-engineering/microprocessors/45-236.png""/> and decimal must be added.</p> "
"<p>Consider the following library functions <code><ol style=""list-style-type: decimal; padding-bottom:10px;""><li style=""padding-top:10px;"">EXP (<i>i.e., e<sup>x</sup></i>)</li><li style=""padding-top:10px;"">ARCTAN (<i>i.e.</i> tan<sup>-1</sup> <i>x</i>)</li><li style=""padding-top:10px;"">SQRT (<i>i.e., <span class=""root"">x</span></i>)</li><li style=""padding-top:10px;"">AES (<i>i.e. </i>|<i>x</i>|)</li></ol><br/></code> Which of the above are allowed in Pascal?</p>",All,1 and 3 only,"1, 3, 4 only","1, 2 and 3 only",,A, <p>All are allowed in Pascal.</p> 
"<p>Consider the following program in Basic <br/><br/><code>10 READ X, Y, Z<br/>15 DATA 20, 30, 10<br/>20 S = X + Y + Z<br/>30 A = S/3<br/>35 PRINT S, A, X, Y, Z<br/>40 END</code><br/><br/> The output will be</p>","60, 20, 20, 30, 10","10, 30, 20, 20, 60","60, 20, 30, 10, 20","60, 30, 10, 20, 20",,A," <p><img src=""/_files/images/electronics-and-communication-engineering/microprocessors/47-401.png""/>.</p> "
"<p>Let the initial contents of <code>ACC and CY</code> in 8085 be <code><ol style=""list-style-type: decimal; padding-bottom:10px;""><li style=""padding-top:10px;"">CY = 1</li><li style=""padding-top:10px;"">ACC = 10000001</li></ol></code> After the instruction <code>RAL</code> is executed twice the contents of <code>CY and ACC</code> respectively will be</p>",1 and 00000011,0 and 00000111,1 and 00000111,0 and 00000011,,B, <p>RAL means 'rotate left through carry'.</p> 
<p>Assuming that <i>k</i> is an integer what would the result of following expression in C<br/><i>k</i> = 2* 3 / 5 + 4 / 4 + 8 - 2 - 4 / 8</p>,8,7,7.5,zero,,A, <p><i> k</i> = 1 + 1 + 8 - 2 - 0 = 8 because <i>k</i> is an integer.</p> 
<p>Which of the following is a valid real constant?</p>,1281,1281.0,KM,11821,,B, <p>It is the only one with decimal point.</p> 
<p>Which of the following is a valid real constant?</p>,-81.56,73,"10254,1",42,,A, <p>It is the only one with decimal and without comma.</p> 
<p>Consider the following program in C <code><br/><br/>int <i>k</i> <br/>float <i>b</i> ; <br/><i>k</i> = 3 <br/><i>b</i> = 10.1 <br/><i>k</i> = <i>k</i> / <i>b</i></code><br/><br/>The final result would be <i>k</i> =</p>,0.297,0.2,0,3,,C," <p><img src=""/_files/images/electronics-and-communication-engineering/microprocessors/46-341.png""/> Since K is int hence answer is 0.</p> "
<p>The decimal equivalent of binary 1101.11 is</p>,9.75,13.75,11.50,11.75,,B, <p>Convert to decimal.</p> 
<p>Zip floppy has a capacity of</p>,50 MB,500 MB,25 MB,100 MB or 250 MB,,D, <p>Zip floppy has high memory 100 MB or 250 MB.</p> 
<p>Which of the following is not a valid character constant in C?</p>,'A','2','=',2,,D, <p>Character constant must be enclosed within single inverted commas.</p> 
"<p>Consider the following program in Basic<br/><code><br/>5 READ R <br/>10 D = 2 * R <br/>20 A = 3.1416 * D * D / 4 <br/>30 PRINT A<br/></code><br/> Assuming that R = 3.0, the output A =</p>",2.827,28.27,282.7,2827,,B," <p><img src=""/_files/images/electronics-and-communication-engineering/microprocessors/47-400.png""/>.</p> "
"<p>Consider the following statements about Java variables <ol style=""list-style-type: decimal; padding-bottom:10px;""><li style=""padding-top:10px;"">Java variable must start with a letter or underscore or dollor sign.</li><li style=""padding-top:10px;"">Java variable can not start with a digit.</li><li style=""padding-top:10px;"">After the first character the variable can have any combination of letters or numbers.</li><li style=""padding-top:10px;"">Capitalization of letters must be consistent.</li></ol> Which of the above are correct?</p>",All,"1, 2 and 3 only","2, 3, 4 only","1, 2 and 4 only",,A, <p>All these are correct for Java variables.</p> 
<p>A microprocessor is generally</p>,single chip SSI,single chip MSI,single chip LSI,any of the above,,C, <p>It is LSI chip.</p> 
"<p>Consider the following program in C <code><br/><br/>int <i>k</i>;<br/>float <i>a</i>, <i>b</i>, <i>c</i>;<br/><i>k</i> = <i>a</i>* <i>b</i>* <i>c</i> / 100 + 2.5 / 2 - 0.3 * 9</code><br/> <br/>if <i>a</i> - 5.0, <i>b</i> = 2.0 and <i>c</i> = 3.0 the final result <i>k</i> =</p>",1,- 1,+ 1.15,- 1.15,,B, <p><i>k</i> = 0 + 1 - 2 = - 1 because <i>k</i> is an integer.</p> 
"<p>A computer program is used to read N and print the sum 1<sup>2</sup> + 2<sup>2</sup> + 3<sup>2</sup> +.....+ N<sup>2</sup>. If N = 10, the print out will show the number</p>",100,10,385,285,,C, <p>SUM = 1<sup>2 </sup>+ 2<sup>2</sup> + 3<sup>3</sup> + 4<sup>4</sup> + 5<sup>2</sup> + 6<sup>2</sup> + 7<sup>7</sup> + 8<sup>2</sup> + 9<sup>2</sup> + 10<sup>2</sup> = 385.</p> 
<p>Which of the following arithmetic operations requires only one operand in FORTRAN 77?</p>,Addition,Multiplication,Negative,Substraction,,C, <p>All other operations require two operands.</p> 
<p>Which of the following is not a valid variable name in C?</p>,<i>p</i>_<i>ce</i>1,1<i>p</i>_<i>ce</i>,<i>p</i>1_<i>ce</i>,<i>p</i> _<i>ced</i>,,B, <p>First character is 1 which is not allowed.</p> 
<p>Which of the following array names is invalid in Fortran 77?</p>,"B(2, 4)","B(M, 3)","B(M, R)","B(3, 6)",,C, <p>Subscript not proper.</p> 
<p>A nibble corresponds to</p>,2 successive bits of data,4 successive bits of data,8 successive bits of data,16 successive bits of data,,B, <p>Nibble has 4 bits.</p> 
"<p>Consider the following statements <ol style=""list-style-type: decimal; padding-bottom:10px;""><li style=""padding-top:10px;"">An assembler is a program having assembly language program as input and machine language program as output.</li><li style=""padding-top:10px;"">A macro assembler is an assembler with additional macro facilities.</li><li style=""padding-top:10px;"">A cross assembler for a μP X is an assembler which executes on source microcomputer with a different CPU than X bit generates code for X.</li><li style=""padding-top:10px;"">Assemblers generally do not provide macro facilities.</li></ol> Of the above statement</p>",All are correct,"only 1, 2, 3 are correct","only 1, 2, 4 are correct","only 1, 3, 4 are correct",,B, <p>Assemblers do provide macro facilities.</p> 
<p>A computer window has a bar at its top to bear the name of window. This bar is called</p>,title bar,status bar,menu bar,control bar,,A, <p>It is called 'title bar'.</p> 
"<p>Read the following statements about files in Pascal <ol style=""list-style-type: decimal; padding-bottom:10px;""><li style=""padding-top:10px;"">A file can grow or shrink dynamically.</li><li style=""padding-top:10px;"">A file which consists of only characters is called text file.</li><li style=""padding-top:10px;"">Text files may be read and written using standard Pascal READ and WRITE procedures.</li><li style=""padding-top:10px;"">Every file must have a beginning but may or may not have an end.</li></ol> Which of the above are correct?</p>",All,"1, 2, 3 only","2, 3, 4 only","1, 2 and 4 only",,B," <p>Only 1, 2, 3 are correct and 4 is wrong.</p> "
<p>If word length is 16 bits the decimal equivalent of largest number which can be stored is</p>,32767,32766,16383,16384,,A," <p>Complete real number has all the three, i.e., sign, integer part and fraction part.</p> "
<p>For the floating point numbers 1.81 x 10<sup>-29</sup> and 0.0152 x 10<sup>18</sup> the normalised forms are</p>,0.181 x 10<sup>-28</sup> and 0.152 x 10<sup>17 </sup>respectively,18.1 x 10<sup>-30</sup> and 0.152 x 10<sup>17</sup> respectively,0.181 x 10<sup>-28</sup> and 1.52 x 10<sup>16</sup> respectively,None of the above,,A," <p>In normalised form, the integer part is zero.</p> "
<p>In computers the secondary memory is faster than primary memory.</p>,True,False,,,,B, <p>Secondary memory is slow.</p> 
"<p>Consider the following in C <ol style=""list-style-type: decimal; padding-bottom:10px;""><li style=""padding-top:10px;"">An arithmetic operation between integer and an integer gives integer as the result.</li><li style=""padding-top:10px;"">An arithmetic operation between a real and a real constant gives real constant as the result.</li><li style=""padding-top:10px;"">An arithmetic operation between an integer constant and a real constant is not valid.</li></ol> Which of the above are correct?</p>",All,1 and 2 only,2 and 3 only,1 and 3 only,,B, <p>Mixed mode statement is allowed in C.</p> 
<p>Binary storage of decimal number 44 in 8 bits is</p>,00101100,10101100,10101101,00101101,,A, <p>Use decimal to binary conversion method.</p> 
"<p>LET JCOKE = 11 and LPEPSI = 19. Consider the statement <code><br/><br/>IF (JCOKE - LPEPSI) 5, 5, 7<br/>5 JCOKE = JCOKE + 2 <br/>7 JCOKE = JCOKE + 5<br/><br/></code> The value of JCOKE after the execution of above statement will be</p>",13,16,9,14,,A, <p>(J COKE - L PEPSI) is 11 - 19 = - 8 Since (J COKE - L PEPSI) is negative statement 5 is executed and result is 11 + 2 = 13.</p> 
<p>Which of the following is operating system?</p>,MS WORD,Ventura,Java,Windows,,D, <p>Windows is an operating system.</p> 
<p>A modem is connected to PC at</p>,serial port,parallel port,SCSI port,input port,,A, <p>Modem is connected at serial port.</p> 
<p><p><b>Assertion (A):</b>  The data bus and address bus of 8085 are multiplexed. </p><p><b>Reason (R):</b> Multiplexing reduces the number of pins.</p></p>,Both A and R are correct and R is correct explanation of A,Both A and R are correct but R is not correct explanation of A,A is correct R is wrong,A is wrong R is correct,,A, <p>In 8085 signal lines AD<sub>7</sub> - AD<sub>0</sub> are used for address bits in some T states and for data in some other T states.</p> 
"<p>Consider the following statements about 'Functions' in C <ol style=""list-style-type: decimal; padding-bottom:10px;""><li style=""padding-top:10px;"">A function can be called any number of times.</li><li style=""padding-top:10px;"">A function gets called when the function name is followed by a semicolon.</li><li style=""padding-top:10px;"">The order in which functions are defined in a program and the order in which they are called must be the same.</li></ol> Which of the above statements are correct?</p>",All,1 and 2 only,1 and 3 only,2 and 3 only,,B, <p>The two orders need not be the same in C.</p> 
<p>A failure rate of 0.01 percent in 1000 hours in a memory corresponds to an MTBF of</p>,1000 hours,100000 hours,10 hours,100 hours,,B," <p><img src=""/_files/images/electronics-and-communication-engineering/microprocessors/44-107.png""/>.</p> "
<p>Which of the following is not a valid real constant?</p>,-73.1,"10251,3",10.23,-5.7381,,B, <p>Comma is not allowed in real constant.</p> 
<p>Consider the expression <i>b</i> = <i>acd</i> (<i>xz</i>). The correct C statement for above expression is</p>,<i>a c d </i>(<i>x </i>* <i>z</i>),<i>a</i>* <i>c</i>*<i> d</i>* (<i>x z</i>),<i>a</i> *<i> c</i> * <i>d</i> (<i>x</i> * <i>z</i>),None of the above,,C, <p>All operators must be written explicity in C.</p> 
<p>Which is a valid Java variable?</p>,1 <i>a</i> <i>b</i>,56 <i>a </i>,<i>a </i>56,5 <i>a</i> 6,,C, <p>In all others first letter is not lower case.</p> 
"<p>When we use <code>RRC</code> instruction once in 8085, the number is</p>",multiplied by 2,divided by 2,multiplied by 4,divided by 4,,B, <p>When RRC is used once the number is divided by 2.</p> 
"<p>Read the following statements about sets <ol style=""list-style-type: decimal; padding-bottom:10px;""><li style=""padding-top:10px;"">If A and B are sets then A + B denotes union of sets A and B.</li><li style=""padding-top:10px;"">The union of A and B is that set whose elements are in either A or B or both.</li><li style=""padding-top:10px;"">If A and B are sets, then difference of sets A and B is denoted by A - B.</li><li style=""padding-top:10px;"">A - B in the set obtained by removing elements of A from B.</li></ol> Which of the above are true?</p>",All,"1, 2 and 3 only",2 and 3 only,1 and 4 only,,A, <p>All are correct.</p> 
