question,A,B,C,D,E,answer,explanation
<p>Which mode is called dominant mode in rectangular wave guide?</p>,TE<sub>01</sub>,TE<sub>11</sub>,TE<sub>10</sub>,TE<sub>20</sub>,,C,
<p>In a TWT the loss in attenuator is</p>,almost equal to forward gain of tube,much less than forward gain of tube,much higher than forward gain of tube,almost infinite,,A,
"<p>To study electromagnetic radiations from astronomical objects, radio astronomers use</p>",low frequencies,medium frequencies,microwaves,either (<i>a</i>) or (<i>b</i>),,C,
<p>Radar reciever has high sensitivity and low noise figure</p>,True,False,,,,A,
"<p>For a waveguide, which of the following statements is wrong?</p>",It is usually made of brass or aluminium,It is usually rectangular or circular in shape,The dielectric region is usually air,The wall thickness is very small as compared to skin depth,,D,
<p>A transmission line discontinuity is defined as any interruption in the uniformity of the line.</p>,True,False,,,,A,
<p>Interference generated by electrical equipment and automobile ignition systems when observed closed to earth is</p>,horizontally polarized,vertically polarized,polarized both horizontally,not polarized,,B,
<p>The earliest uses of electromagnetic waves were</p>,point to point communication,radar,both (a) and (b),neither (a) nor (b),,C,
<p>At millimeter wavelength the favoured mode in circular wave guide is</p>,TE<sub>01</sub>,TE<sub>11</sub>,TE<sub>20</sub>,TE<sub>21 </sub>,,A,
<p>In laboratory experiment the output from reflex klystron is moderated by square wave because</p>,it is easy to generate a square wave,crystal diode operates in square law region of <i>i</i>-<i>v</i> characteristics,it prevents frequency modulation,detector circuit is less complicated,,B,
<p>Klystron amplifier is not used to amplifier very weak microwave signals due to</p>,low gain for weak signals,low noise for weak signals,high noise,both (a) and (b),,C,
<p>Which of the following modes in circular waveguides are circularly symmetric?</p>,TE<sub>01</sub>,TE<sub>02</sub>,both (a) and (b),neither (a) nor (b),,C,
<p>Which of the following lines behaves as infinite line?</p>,a line terminated in inductance,a line terminated in capacitance,a short line,a line terminated in <i>z</i><sub>0</sub>,,D,
"<p>A rectangular waveguide has two stubs each length <img src=""/_files/images/electronics-and-communication-engineering/microwave-communication/11-78.png""/> connected at the source end. The stubs are short circuted. Then</p>",the longitudinal current is power current and current in stubs is reactive,the longitudinal current is reactive current and current in stubs is power current,both power and reactive exists in both longitudinal direction and stubs,the current in stubs is zero,,A,
<p>Performance of a PIN diode switch is represented by</p>,insertion loss when switch is off,insertion loss when switch is on,insertion loss when switch is on and isolation loss when switch is off,insertion loss when switch is off and isolation loss when switch is on,,C,
<p>A circular waveguide has an infinite set of TE and TM modes.</p>,True,False,,,,A,
<p>In TE and TM modes of rectangular waveguides having propagation in <i>z</i> direction</p>,E<sub>z</sub> and H<sub>z</sub> are both zero,In TE mode E<sub>z</sub> is zero and in TM mode H<sub>z</sub> is zero,In TE mode H<sub>z</sub> is zero and in TM mode E<sub>z</sub> is zero,In both TE and TM modes both E<sub>z</sub> and H<sub>z</sub> are non-zero,,B,
"<p>Which of the following are true for magic tee in the given figure select the answer as per given codes<br/><img src=""/_files/images/electronics-and-communication-engineering/microwave-communication/16-176.png""/> <ol style=""list-style-type: decimal; padding-bottom:10px;""><li style=""padding-top:10px;""><i>S</i><sub>13</sub> = <i>S</i><sub>23</sub></li><li style=""padding-top:10px;""><i>S</i><sub>14</sub> = <i>S</i><sub>24</sub></li><li style=""padding-top:10px;""><i>S</i><sub>12</sub> = 0</li><li style=""padding-top:10px;""><i>S</i><sub>34</sub> = 0</li></ol></p>","1, 2 and 3","1, 2 and 4","2, 3 and 4","1, 3 and 4",,C,
<p>The manufacturing technique used to manufacture strip type transmission line is</p>,photoetching technique,oxidation technique,cladding,epitaxial,,A,
<p>An electromagnetic wave can be completely guided by a dielectric rod or slab.</p>,True,False,,,,A,
<p>Most electromagnetic transmission in rectangular wave-guide uses</p>,TE<sub>10</sub> mode,TE<sub>01</sub> mode,TE<sub>20</sub> mode,TE<sub><sub>11</sub></sub> mode,,A,
<p>Loading of a line means</p>,increasing inductance of line,increasing distributed inductance of line,decreasing distributed inductance of line,decreasing inductance of line,,B,
<p>The frequency of oscillations obtained from a reflex klystron depends mainly on</p>,resonant frequency of cavity,repeller voltage,voltage of focussing electrode,characteristics of cathode,,A,
<p>The main advantage of TWT over klystron is</p>,higher bandwidth,higher gain,higher frequency,higher output,,A,
<p>In a TWT the phase velocity of the axial component of the field on the slow wave structure is kept</p>,equal to velocity of electron,slightly less than velocity of electron,slightly more than velocity of electron,equal to velocity of light in free space,,A,
<p><p><b>Assertion (A):</b>  Two equal and opposite travelling waves result in a standing wave.</p><p><b>Reason (R):</b> The ratio of maximum to minimum value of a standing wave is called SWR.</p></p>,Both A and R are correct and R is correct explanation of A,Both A and R are correct but R is not correct explanation of A,A is correct but R is wrong,A is wrong but R is correct,,B,
<p>When a wave reaches an open circuit</p>,the voltage at termination is doubled the incident voltage,the current at termination is doubled the incident voltage,the voltage at termination is zero,both V and I at termination are doubled the incident voltage and current,,A,
<p><p><b>Assertion (A):</b>  In circular waveguide the attenuation of TE<sub>01</sub> mode decreases as the operating frequency increases.</p><p><b>Reason (R):</b> The wall currents in a circular waveguide in TE<sub>Q1</sub> mode are completely circumferential.</p></p>,Both A and R are correct and R is correct explanation of A,Both A and R are correct but R is not correct explanation of A,A is correct but R is wrong,A is wrong but R is correct,,B,
"<p>Consider the following statements <ol style=""list-style-type: decimal; padding-bottom:10px;""><li style=""padding-top:10px;"">Usable bandwidth of ridge wave guide is more than that of rectangular waveguide.</li><li style=""padding-top:10px;"">For a given value of TM<sub>10</sub> cutoff frequency the cross section of ridge wave guide is lesser that that of rect angular waveguide.</li><li style=""padding-top:10px;"">Ridge wave guide has higher conductor losser than a rectangular waveguide.</li><li style=""padding-top:10px;"">Ridge guide has higher conductor losser than a rectangular waveguide.</li></ol> Which of the above statements are correct?</p>",1 and 2 only,"1, 2 and 3 only",2 and 3 only,All,,B,
<p>Directive gain of elementary doublet is</p>,100,10,1.5,0.5,,C,
