question,A,B,C,D,E,answer,explanation
"<p>According to kinetic theory of gases, the velocity of molecules __________ with the increase in temperature.</p>",remains constant,increases,decreases,,,B,
<p>The hard coke is obtained when carbonisation of coal is carried out at</p>,300° to 500°C,500° to700°C,700° to 900°C,900° to 1100°C,,D,
"<p>According to First law of thermodynamics,</p>",total internal energy of a system during a process remains constant,total energy of a system remains constant,workdone by a system is equal to the heat transferred by the system,"internal energy, enthalpy and entropy during a process remains constant",,B,
"<p>The root mean square velocity of the gas molecules is given by (where <i>k</i> = Boltzmann's constant, <i>T</i> = Absolute temperature, and <i>m</i> = Mass of one molecule of a gas)</p>","<img src=""/_files/images/mechanical-engineering/thermodynamics/247-163-1.png""/>","<img src=""/_files/images/mechanical-engineering/thermodynamics/247-163-2.png""/>","<img src=""/_files/images/mechanical-engineering/thermodynamics/247-163-3.png""/>","<img src=""/_files/images/mechanical-engineering/thermodynamics/247-163-4.png""/>",,C,
<p>Stirling cycle consists of</p>,two constant volume and two isentropic processes,two constant volume and two isothermal processes,two constant pressure and two isothermal processes,"one constant volume, one constant pressure and two isentropic processes",,B,
<p>The ratio of molar specific heats for monoatomic gas is</p>,1,1.4,1.67,1.87,,C,
"<p>The general law of expansion or compression is <i>pv<sup>n</sup></i> = <i>C</i>, The process is said to be hyperbolic, if <i>n</i> is equal to</p>",0,1,γ,∝,,B,
"<p>The state of a substance whose evaporation from its liquid state is partial, is known as steam.</p>",Agree,Disagree,,,,B,
<p>The value of universal gas constant is same for all gases.</p>,Yes,No,,,,A,
<p>The numerical value of the thermal capacity and the water equivalent of the substance are the same.</p>,Agree,Disagree,,,,A,
<p>The area under the temperature-entropy curve (i. e. <i>T</i> - <i>s</i> curve) of any thermodynamic process represents the workdone during the process.</p>,Agree,Disagree,,,,B,
<p>The heating of a gas at constant pressure is governed by Charles' law.</p>,True,False,,,,A,
<p>Which of the following statement is wrong?</p>,The closed cycle gas turbine plants are external combustion plants.,"In the closed cycle gas turbine, the pressure range depends upon the atmospheric pressure.",The advantage of efficient internal combustion is eliminated as the closed cycle has an external surface.,"In open cycle gas turbine, atmosphere acts as a sink and no coolant is required.",,B,
<p>Carnot cycle consists of</p>,two constant volume and two isentropic processes,two isothermal and two isentropic processes,two constant pressure and two isentropic processes,"one constant volume, one constant pressure and two isentropic processes",,B,
<p>When a gas is heated at constant volume</p>,its temperature will increase,its pressure will increase,both temperature and pressure will increase,neither temperature nor pressure will increase,,C,
"<p>According to kinetic theory of gases, the kinetic energy of translation of a molecule is proportional to</p>",<i>T</i>,"<span class=""root""><i>T</i></span>",1/<i>T</i>,"1/<span class=""root""><i>T</i></span>",,A,
<p>The amount of heat given out by the complete combustion of 1 kg of fuel is known as calorific value of solid or liquid fuel.</p>,True,False,,,,A,
<p>The conditions of temperature and pressure at 0°C (273K) and 760 mm of Hg pressure are termed as __________ temperature and pressure.</p>,normal,standard,,,,B,
<p>The value of <i>c<sub>p</sub></i>/<i>c<sub>v</sub></i> for air is</p>,1,1.4,1.8,23,,B,
"<p>The heat absorbed or rejected by the working substance is given by (where <i>ds</i> = Increase or decrease of entropy, <i>T</i> = Absolute temperature, and <i>dQ</i> = Heat absorbed or rejected)</p>",δ<i>Q</i> = <i>T</i>.<i>ds</i>,δ<i>Q</i> = <i>T</i>/<i>ds</i>,<i>dQ</i> = <i>ds</i>/<i>T</i>,none of these,,A,
