question,choices,answer
"The ability to concentrate magnetic lines of force.","[""retentivity"",""permeability"",""susceptability"",""reluctivity""]",1
"The permeability of free space.","[""4\u03c0 x 10^-7 H\/m"",""12.56 x 10^-7 F\/m"",""8.854 x 10^-7 H\/m"",""8.854 x 10^-12 F\/m""]",0
"The ratio of material permeability to the permeability of air or vacuum.","[""relative conductivity"",""relative permeability"",""inverse permeability"",""inverse permittivity""]",1
"What is the relative permeability of air?","[""0"",""1"",""4\u03c0 x 10^-7 H\/m"",""8.854 x 10^-12 F\/m""]",1
"Materials with permeability slightly less than that of free space.","[""diamagnetic"",""paramagnetic"",""ferromagnetic"",""antimagnetic""]",0
"Materials with permeability slightly greater than that of free space.","[""diamagnetic"",""paramagnetic"",""ferromagnetic"",""antimagnetic""]",1
"What do you call materials, which possess very high permeabilities?","[""diamagnetic"",""paramagnetic"",""ferromagnetic"",""antimagnetic""]",2
"What is the relative permeability of paramagnetic substance?","[""slightly greater than 1"",""very much greater than 1"",""slightly less than 1"",""very much smaller than 1""]",0
"Permeability of a material means:","[""The ability of the material to conduct electric field"",""The conductivity of the material for electromagnetic field"",""The ability of the material to hold magnetic flux"",""The conductivity of the material for magnetic lines of force""]",3
"Nonmetallic materials that has ferromagnetic properties.","[""termites"",""ferrites"",""ferrous"",""loadstone""]",1
"Cores of magnetic equipment use magnetic material which has","[""very low permeability"",""moderate permeability"",""low permeability"",""high permeability""]",3
"Hydrogen is an example of a _________ material.","[""diamagnetic"",""ferromagnetic"",""paramagnetic"",""magnetic""]",0
"Cobalt is an example of a _________ material.","[""diamagnetic"",""ferromagnetic"",""paramagnetic"",""magnetic""]",1
"The space outside a magnet where its poles has a force of attraction or repulsion on another magnetic pole.","[""magnetic field"",""magnetic flux"",""magnetic flux density"",""magnetic lines of force""]",0
"The imaginary lines representing the magnetic field.","[""magnetic field"",""magnetic flux"",""magnetic flux density"",""magnetic lines of force""]",3
"What do you call the total number of magnetic lines of force in a magnetic field?","[""magnetic field"",""magnetic flux"",""magnetic flux density"",""magnetic lines of force""]",1
"The number of lines per unit area in a plane perpendicular to the magnetic lines of force.","[""magnetic field"",""magnetic flux"",""magnetic flux density"",""magnetic lines of force""]",2
"The direction of field lines outside a magnet is","[""from north to south pole"",""from south to north pole"",""either from north to south or south to north pole"",""dependent on the magnet\u2019s orientation with respect to the earth\u2019s magnetic pole""]",2
"The entire group of magnetic field lines flowing outward from the north pole of a magnet.","[""magnetic field"",""magnetic flux density"",""magnetic flux"",""electromagnetic field""]",2
"Magnetic lines of force are called","[""magnetic field"",""magnetic flux density"",""magnetic flux"",""electromagnetic field""]",2
"What is the unit of magnetic flux in SI system?","[""Weber"",""Maxwell"",""Tesla"",""Gauss""]",0
"The unit of magnetic flux density in SI:","[""Gauss"",""Weber"",""Maxwell"",""Tesla""]",3
"A magnetic flux of 25,000 Maxwell in an area of 5 sq. cm. results in flux density of","[""5,000 Gauss (G)"",""125,000 G"",""5,000 Tesla (T)"",""125,000 T""]",0
"Calculate the flux density in Gauss (G) having a flux of 12,000 Mx through a perpendicular area of 6cm.","[""200 G"",""2,000 G"",""7,200 G"",""72,000 G""]",1
"What does a gauss meter measure?","[""flux"",""magnetic field"",""magnetic flux density"",""mmf""]",2
"The capacity of a substance to become magnetized. This is expressed as a ratio between the magnetization produced in a substance to the magnetizing force producing it.","[""magnetic conductivity"",""magnetic susceptibility"",""magnetic resistivity"",""magnetic reluctivity""]",1
"The typical saturation flux density for most magnetic materials.","[""0.1 Wb\/m^2"",""2 Wb\/m^2"",""10 Wb\/m^2"",""20 Wb\/m^2""]",1
"The force between two magnetic poles is _________ permeability of the medium.","[""directly proportional to the"",""inversely proportional to the"",""not dependent of the"",""exponentially proportional to the""]",1
"If the distance between two magnetic poles is halve, the force between them","[""decreases two times"",""decreases four times"",""increases two times"",""increases four times""]",3
"A force of 20 N is acting on a 10 Wb magnetic pole, calculate the intensity of the magnetic field?","[""0.5 N\/Wb"",""2 N\/Wb"",""10 N\/Wb"",""20 N\/Wb""]",1
"Unit of permeability","[""Henry\/meter (H\/m)"",""Farad\/meter (F\/m)"",""Henry-meter (H-m)"",""Farad-meter (F-m)""]",0
"The unit of permittivity","[""Henry\/meter (H\/m)"",""Farad\/meter (F\/m)"",""Henry-meter (H-m)"",""Farad-meter (F-m)""]",1
"The Gauss is a unit of","[""permeability"",""electromagnetic force"",""magnetic force"",""magnetic flux density""]",3
"What is the unit of flux in cgs?","[""Ampere-turn (At)"",""Coulomb\/sec. (C\/s)"",""Maxwell (Mx)"",""Gauss""]",2
"One Weber is equivalent to","[""10^8 Maxwells"",""10^6 Maxwells"",""10^4 Maxwells"",""10^2 Maxwells""]",0
"The equivalent of 1 x 10^9 Maxwells is","[""1 Weber"",""10 Weber"",""100 Weber"",""1,000 Weber""]",1
"A magnetic flux of 500,000,000 lines is equivalent to","[""5 x 10^8 Maxwells"",""5 Weber"",""500 x 10^6 MAxwells"",""all of these""]",3
"The unit of flux density in mks","[""Gauss"",""Weber\/m^2"",""Maxwell"",""Tesla""]",1
"What do you call the force that sets up or tends to set up magnetic flux in a magnetic circuit?","[""electromotive force"",""potential difference"",""magnetomotive force"",""dynamic force""]",2
"Voltage in electrical circuits is analogous to _________ in magnetic circuits.","[""Ampere-turn"",""Magnetomotive force"",""Magnetizing force"",""Flux""]",1
"Electrical current is analogous to _________ in magnetic circuits.","[""Ampere-turn"",""Magnetomotive force"",""Magnetizing force"",""Flux""]",3
"__________ capability is analogous to permeance.","[""Admittance"",""Conductance"",""Reluctance"",""Resistance""]",1
"Resistance in electrical circuits is analogous to _________ in magnetic circuits.","[""Conductance"",""Permeance"",""Elastance"",""reluctance""]",3
"The property of a material which opposes the creation of magnetic flux.","[""elastance"",""permeance"",""susceptance"",""reluctance""]",3
"The reciprocal of reluctance","[""conductance"",""permeance"",""elastance"",""capacitance""]",1
"Permeance is analogous to","[""conductance"",""resistance"",""impedance"",""elastance""]",0
"Is the reciprocal of reluctance and implies the readiness of a material to develop magnetic flux.","[""elastance"",""permeance"",""susceptance"",""conductance""]",1
"Magnetic circuit property that permits flux.","[""elastance"",""permeance"",""susceptance"",""conductance""]",1
"It is easier to establish flux line in soft iron than it is to establish them in air, this is because iron has a lower","[""Permeance"",""Inductance"",""elastance"",""reluctance""]",3
"The Oersted (Oe) is the same as","[""1 Gb\/cm"",""1 Gb\/m"",""10 Gb\/cm"",""10 Gb\/cm""]",0
"The unit of reluctance","[""Gilbert"",""Tesla"",""At\/Wb"",""Gauss""]",2
"It is the specific reluctance of a material.","[""resistivity"",""retentivity"",""reluctivity"",""permeability""]",2
"At/m is a unit of","[""magnetic field"",""reluctance"",""magnetizing force"",""magnetic power""]",2
"Magnetomotive force has a unit of","[""Volt (V)"",""Watt (W)"",""Joule (J)"",""Ampere-turn (At)""]",3
"The cgs unit of magnetomotive force","[""Volt"",""Weber"",""Gilbert"",""Ampere-turn""]",2
"One Gilbert is equal to","[""0.0796 At"",""0.796 At"",""7.96 At"",""79.6 At""]",1
"One Ampere-turn (At) is equivalent to","[""0.126 Gilbert"",""1.260 Gilberts"",""12.60 Gilberts"",""126 Gilberts""]",1
"The current needed for a coil of 200 turns to provide a 400 ampere turn magnetizing force is","[""2 A"",""4 A"",""6 A"",""8 A""]",0
"Determine the ampere-turns when a 10 V battery is connected across a solenoid having 100 turns and a resistance of 5 Ω.","[""50 At"",""200 At"",""100 At"",""1,000 At""]",1
"What is residual magnetism?","[""The external magnetic field when the current is flowing through the exciting coil."",""The flux density, which exist in the iron core when the magnetic field intensity is reduced to zero."",""The flux density, which exist in the iron core when the magnetic field intensity is at its maximum value."",""The flux density when the magnetic core is saturated.""]",1
"When you demagnetize property by applying an AC field and then gradually reduced it to zero, it is called","[""damping"",""decaying"",""degaussing"",""gaussing""]",2
"In a magnetic circuit, a flux that drifts away from its intended path is called","[""lost flux"",""linked flux"",""drift flux"",""leakage flux""]",3
"Is the quantity of magnetizing force needed to counter balance the residual magnetism of a magnetic material.","[""hysteresis"",""degaussing"",""retentivity"",""coercivity""]",3
"What do you call the loss of electrical energy in counter balancing the residual magnetism in each cycle?","[""hysteresis"",""magnetomotive"",""leakage"",""coercivity""]",3
"The amount of magnetic field needed to remove residual magnetism from a transformer core during each half cycle is called the","[""coercive force"",""residual field"",""hysteresis field"",""demagnetizing force""]",0
"If a wire coil has 100 turns and carries 1.3 A of current, calculate the magnetomotive force in Gilbert.","[""163.3"",""16.33"",""1.633"",""0.1633""]",0
"An advantage of an electromagnet over a permanent magnet","[""An electromagnet can be demagnetized"",""An electromagnet is simpler"",""An electromagnet is cheaper"",""An electromagnet can be switched ON and OFF""]",3
"Electromagnet whose core is in the form of a close magnetic ring","[""solenoid"",""relay"",""toroid"",""circular""]",2
"Magnetic flux can always be attributed to","[""static charged particles"",""motion of charge particles"",""static electric field"",""every applied potential""]",1
"What is a magnetic field?","[""A force set up when current flows through a conductor."",""A force set up when a charged body is at static."",""The space between two electrically charged particles."",""The space around a conductor.""]",0
"Which of the following determines the strength of a magnetic field around a conductor?","[""amount of current"",""diameter of the conductor"",""length of the conductor"",""amount of voltage""]",0
"The magnetic flux around a straight, current carrying wire, is stronger","[""near the edge"",""near the wire"",""at the center"",""at both edge""]",1
"In what direction is the magnetic field about a conductor when current is flowing?","[""In a direction determined by the left-hand rule."",""Always in a clock wise direction."",""Always in a counter clockwise direction."",""In a direction determined by the right-hand screw rule.""]",0
"If the electrical current carried by each of the two long parallel wire is doubled, and their separation is also doubled, the force between them","[""also doubles"",""increases by a factor of four"",""decreases by a factor of four"",""decreases by a factor of two""]",0
"Reversing the flow of current in a circuit","[""reverses the magnetic polarity"",""increase the magnetic field intensity"",""decreases the magnetic intensity"",""enhances hysteresis""]",0
"Is used to maintain strength of magnetic field.","[""storer"",""energizer"",""gausser"",""keeper""]",3
"What law that describes the force of attraction or repulsion between two magnetic poles is directly proportional to their strengths?","[""Coulomb\u2019s first law"",""Coulomb\u2019s second law"",""Ampere\u2019s law"",""Gauss\u2019 law""]",0
"What is the law whereby the force of attraction or repulsion between poles is inversely proportional to the square of the distance between them?","[""Coulomb\u2019s first law"",""Coulomb\u2019s second law"",""Coulomb\u2019s third law"",""Coulomb\u2019s law""]",1
"The physical motion resulting from the forces of magnetic fields.","[""motor action"",""linear motion"",""rectilinear motion"",""generator action""]",0
"What law in electronics where an induced current will be in such a direction that its own magnetic field will oppose the magnetic field that produces the same?","[""Electromagnetic law"",""Norton\u2019s law"",""Lenz law"",""Maxwell law""]",2
"A changing magnetic field","[""produces an electric field"",""induces potential"",""produces a fluctuating electric field"",""produces a steady electric field""]",1
"Permeance is analogous to","[""Conductance"",""Reluctance"",""Admittance"",""Resistance""]",0
"The property of magnetic materials of retaining magnetism after withdrawal of the magnetizing force is known as","[""Retentivity"",""Reluctivity"",""Resistivity"",""Conductivity""]",0
"The quantity of magnetism retained by a magnetic material after withdrawal of the magnetizing force is called","[""Leftover magnetism"",""Hysteresis"",""Residual magnetism"",""Coercivity""]",2
"The amount of magnetizing force to counter balance the residual magnetism of a magnetic material is referred to as","[""Reluctivity"",""Susceptivity"",""Coercivity"",""Retentivity""]",2
"The ratio of the total flux (flux in iron path) to the useful flux (flux in air gap)","[""Leakage flux"",""Leakage current"",""Leakage coefficient"",""Leakage factor""]",3
"Defined as the number of lines per unit area through any substance in a plane at right angles to the lines of force","[""Flux"",""Flux lines"",""Flux density"",""Flux intensity""]",2
"Defined as the flux density produced in it due to its own induced magnetism","[""Magnetic field intensity"",""Electric field intensity"",""Electromagnetic field intensity"",""Intensity magnetization""]",3
"The force acting on a unit n- pole placed at that point is called","[""Magnetic field intensity"",""Electric field intensity"",""Electromagnetic field intensity"",""Intensity magnetization""]",0
"The ratio between the intensity of magnetization produced in a substance to the magnetizing force producing it","[""Magnetic Reluctivity"",""Magnetic Resistivity"",""Magnetic susceptibility"",""Magnetic conductivity""]",2
"The lagging effect between flux density of the material and the magnetizing force applied","[""Permeance"",""Eddy current"",""Hysteresis"",""Reluctance""]",2
"Refers to the magnetic lines","[""Flux"",""Hysteresis"",""Current"",""Magnetomotive force""]",0
"Refers to the non- metallic materials that have the ferromagnetic properties of iron.","[""Ferrites"",""Ferromagnetic"",""Diamagnetic"",""Paramagnetic""]",0
"The air space between poles of magnets","[""Air gap"",""Free space"",""Vacuum"",""Atmosphere""]",0
"One that has magnetic poles produced by internal atomic structure with no external current necessary","[""Diamagnetic"",""Permanent magnets"",""Paramagnetic"",""Electromagnetic""]",1
"Magnetic effects of the earth as a huge magnet with north and south poles.","[""Diamagnetic"",""Ferromagnetic"",""Terrestrial magnetism"",""Terrestrial ferromagnetism""]",2
"Used to maintain strength of magnetic field","[""Container"",""Air gap"",""Keeper"",""Source""]",2
"All magnetic field originates from","[""moving electric charge"",""Iron atoms"",""Magnetic domain"",""Permanent magnets""]",0
"Magnetic fields do not interact with","[""Moving permanent magnets"",""Stationary permanent magnets"",""Moving electric charges"",""Stationary electric charges""]",3
"The magnetic field inside a solenoid","[""is zero"",""is uniform"",""increases with distance from the axis"",""decreases with distance from the axis""]",1
"When the ferromagnetic substance is inserted in a current- carrying solenoid, the magnetic field is","[""Greatly decreased"",""Greatly increased"",""Slightly decreased"",""Slightly increased""]",1
"The magnetic field of a bar magnet most closely resembles the magnetic field of","[""a horseshoe magnet"",""a straight current- carrying wire"",""a stream of electrons moving parallel to one another"",""a current- carrying wire loop""]",3
"The magnetic field of a magnetized iron bar when strongly heated","[""Becomes weaker"",""Becomes stronger"",""Reverses in direction"",""is unchanged""]",0
"A permanent magnet does not exert a force on","[""an unmagnetized iron bar"",""a magnetized iron bar"",""a moving electric charge"",""a stationary electric charge""]",3
"A current if flowing east along a power line. If the earth’s field is neglected, the direction of the magnetic field below it is","[""North"",""South"",""East"",""West""]",0
"The emf produced in a wire by its motion across a magnetic field does not depend upon the","[""Diameter of the wire"",""Length of the wire"",""Orientation of the wire"",""Flux density of the field""]",0
"The induced emf in a wire loop that is moved parallel to a uniform magnetic field is","[""Zero"",""Dependent on the area of the loop"",""Dependent on the shape of the loop"",""Dependent on the magnitude of the field""]",0
"When a wire loop is rotated in a magnetic field the direction of the induced emf changes one in every _______ revolution","[""1\/3"",""1\/2"",""1\/4"",""2\/3""]",1
"The magnetic flux through a wire loop in a magnetic field does not depend on","[""The area of the loop"",""The magnitude of the field"",""The shape of the loop"",""The angle between the plane of the loop and the direction""]",2
"Steel is hard to magnetize because of its","[""Low permeability"",""High permeability"",""High density"",""High retentivity""]",0
"Paramagnetic substance has a relative permeability of","[""Slightly less than one"",""Equal to one"",""Slightly equal to one"",""Very much greater than one""]",2
"A group of magnetically aligned atoms is called","[""Range"",""Lattice"",""Domain"",""Crystal""]",2
"The force between two magnetic poles varies with the distance between them. The variation is _________ to the square of that distance.","[""Equal"",""Greater than"",""Directly proportional"",""Inversely proportional""]",3
"Permeability means","[""The conductivity of the material for magnetic lines of force"",""The magnetization test in the material after exciting field has been removed"",""The strength of an electromagnet"",""The strength of the permanent magnet""]",0
"_________ is an electromagnet with its core in the form of a close magnetic ring.","[""Solenoid"",""Paraboloid"",""Toroid"",""Cycloid""]",2
"A magnetic material losses its ferromagnetic properties at a point called","[""Curie temperature"",""Inferred absolute temperature"",""Room temperature"",""Absolute temperature""]",0
"Small voltages generated by a conductor with current in an external magnetic field.","[""Skin effect"",""Magnetic effect"",""Hall effect"",""Flywheel Effect""]",2
"The emission of electrons from hot bodies is called","[""Radiation effect"",""Edison effect"",""Skin effect"",""Half effect""]",1
"The ability of a mechanically stressed ferromagnetic wire to recognize rapid switching of magnetization when subjected to a dc magnetic field.","[""Wartheim effect"",""Wiedemann effect"",""Wiegand effect"",""Edison effect""]",2
"An effect which is generally used in the gausameter to measure flux density.","[""Skin effect"",""Magnetic effect"",""Hall effect"",""Flywheel effect""]",2
"The contribution to the ionization in an ionization chamber by electrons liberated from the walls.","[""Skin effect"",""Walt effect"",""Hall effect"",""Edison effect""]",1
"The tiniest element of matter","[""Atom"",""Proton"",""Electron"",""Neutron""]",0
"All matters (gas, liquid and solid) are composed of","[""Neutrons"",""Particles"",""Electrons"",""Atoms""]",3
"The simplest type of atom to exist is the ____________ atom.","[""Helium"",""Hydrogen"",""Boron"",""Oxygen""]",1
"What revolves about the positive nucleus in a definite orbit?","[""Atom"",""Proton"",""Electron"",""Neutron""]",2
"The uncharged particles which have no effect on its atomic charge.","[""Nucleons"",""Electrons"",""Protons"",""Neutrons""]",3
"The diameter of a hydrogen atom is approximately ________ cm.","[""1.1 x 10^-6"",""1.1 x 10^-7"",""1.1 x 10^-8"",""1.1 x 10^-9""]",2
"The K shell or the first shell has how many permissible number of orbiting electrons?","[""1"",""2"",""3"",""4""]",1
"Germanium atom has ______ protons and ______ electrons.","[""32, 32"",""32, 42"",""42, 32"",""34, 34""]",0
"A germanium atom has an atomic weight of 72. How many neutrons are there?","[""32"",""40"",""34"",""36""]",1
"Bonding of atoms that is due to the force of attraction between positive ions and a group of negative ions","[""Ionic bond"",""Covalent Bond"",""Electrostatic Bond"",""Metallic bond""]",3
"An alloy of 22 percent iron and 78 per cent nickel.","[""Permalloy"",""Alnico"",""Constantan"",""Manganin""]",0
"An alloy of 40 percent iron and 60 percent nickel.","[""Alnico"",""Permalloy"",""Hipernik"",""Manganin""]",2
"A commercial alloy of aluminum nickel, and iron with cobalt, copper and titanium added to produce about 12 grades.","[""Alnico"",""Brass"",""Aluminum"",""Constantan""]",0
"The idea of preventing one component from affecting another through their common electric and magnetic field is referred to as","[""Hall effect"",""Grounding"",""Shielding"",""Limiting""]",2
"The physical motion resulting from the forces of magnetic fields is called","[""Motor action"",""Rotation"",""Repulsion"",""Torque action""]",0
"Flux linkages equals","[""Flux times area of core"",""Flux times number of turns times area of core"",""Flux times number of turns times length of core"",""Flux times number of turns""]",3
