question,A,B,C,D,E,answer,explanation
"<p>Reynolds number (<i>R<sub>N</sub></i>) is given by (where <i>h</i> = Film coefficient, <i>l</i> = Linear dimension, <i>V</i> = Velocity of fluid, <i>k</i> = Thermal conductivity, <i>t</i> = Temperature, ρ = Density of fluid, <i>c<sub>p</sub></i> = Specific heat at constant pressure, and μ = Coefficient of absolute viscosity)</p>","<img src=""/_files/images/mechanical-engineering/heat-transfer-refrigeration-and-air-conditioning/410-81-1.png""/>","<img src=""/_files/images/mechanical-engineering/heat-transfer-refrigeration-and-air-conditioning/410-81-2.png""/>","<img src=""/_files/images/mechanical-engineering/heat-transfer-refrigeration-and-air-conditioning/410-81-3.png""/>","<img src=""/_files/images/mechanical-engineering/heat-transfer-refrigeration-and-air-conditioning/410-81-4.png""/>",,C,
<p>The optimum effective temperature for human comfort is</p>,higher in winter than in summer,lower in winter than in summer,same in winter and summer,not dependent on season,,B,
"<p>The wet bulb temperature lines, on the psychrometric chart, are curved lines.</p>",True,False,,,,B,
"<p>The sensible heat factor during cooling and dehumidification process is given by (where <i>h</i><sub>1</sub> = Enthalpy of air entering the cooling coil, <i>h</i><sub>2</sub> = Enthalpy of air leaving the cooling coil, and <i>h<sub>A</sub></i> = Enthalpy of air at the end of dehumidification process)</p>","<img src=""/_files/images/mechanical-engineering/heat-transfer-refrigeration-and-air-conditioning/434-375-1.png""/>","<img src=""/_files/images/mechanical-engineering/heat-transfer-refrigeration-and-air-conditioning/434-375-2.png""/>","<img src=""/_files/images/mechanical-engineering/heat-transfer-refrigeration-and-air-conditioning/434-375-3.png""/>","<img src=""/_files/images/mechanical-engineering/heat-transfer-refrigeration-and-air-conditioning/434-375-4.png""/>",,A,
<p>Thermal diffusivity is a</p>,function of temperature,physical property of a substance,dimensionless parameter,all of these,,B,
<p>The condition of refrigerant after leaving the compressor and before entering the condenser is superheated vapour.</p>,Yes,No,,,,A,
<p>The total radiation from a black body per second per unit area is __________ fourth power of the absolute temperature. This statement is known as Stefan-Boltzmann law.</p>,equal to,directly proportional to,inversely proportional to,,,B,
<p>Which of the following represents a heat pump?</p>,"<img src=""/_files/images/mechanical-engineering/heat-transfer-refrigeration-and-air-conditioning/414-133-1.png""/>","<img src=""/_files/images/mechanical-engineering/heat-transfer-refrigeration-and-air-conditioning/414-133-2.png""/>","<img src=""/_files/images/mechanical-engineering/heat-transfer-refrigeration-and-air-conditioning/414-133-3.png""/>","<img src=""/_files/images/mechanical-engineering/heat-transfer-refrigeration-and-air-conditioning/414-133-4.png""/>",,B,
"<p>In a psychrometric process, the sensible heat added is 30 kJ/s and the latent heat added is 20 kJ/s. The sensible heat factor for the process will be</p>",0.3,0.6,0.67,1.5,,B,
<p>The amount of radiation mainly depends upon the</p>,nature of the body,temperature of the body,type of surface of the body,all of these,,D,
"<p>For ammonia refrigerating systems, the tubes of a shell and tube condenser are made of</p>",copper,aluminium,steel,brass,,C,
<p>The highest thermal diffusivity is of</p>,iron,lead,concrete,wood,,B,
"<p>While designing the refrigeration system of an aircraft, the prime consideration is that the</p>",system has high C.O.P.,power per TR is low,mass of refrigerant circulated in the system is low,mass of the refrigeration equipment is low,,D,
<p>The heat transfer takes place according to</p>,Zeroth law of thermodynamics,First law of thermodynamics,Second law of thermodynamics,Kirchhoff's law,,C,
<p>An electrolux refrigerator is called a __________ absorption system.</p>,single fluid,two fluids,three fluids,,,C,
<p>The heat transfer by radiation __________ a medium.</p>,requires,does not require,,,,B,
<p>Thermal conductivity of water __________ with rise in temperature.</p>,remains same,decreases,increases,may increase or decrease depending upon temperature,,D,
<p>During adiabatic saturation process on unsaturated air __________ remains constant.</p>,relative humidity,dew point temperature,dry bulb temperature,wet bulb temperature,,D,
<p>The thickness of thermal and hydrodynamic boundary layer is equal if Prandtl number is</p>,equal to one,greater than one,less than one,equal to Nusselt number,,A,
<p>A perfect black body is one which</p>,is black in colour,absorbs heat radiations of all wave lengths falling on it,reflects all the heat radiations,transmits the heat radiations,,B,
<p>Degree of saturation or percentage humidity is</p>,the mass of water vapour present in 1 m<sup>3</sup> of dry air,the mass of water vapour present in 1 kg of dry air,the ratio of the actual mass of water vapour in a unit mass of dry air to the mass of water vapour in the same mass of dry air when it is saturated at the same temperature and pressure.,the ratio of actual mass of water vapour in a given volume of moist air to the mass of water vapour in the same volume of saturated air at the same temperature and pressure,,C,
<p>The coefficient of performance of Heat Pump is always __________ one.</p>,equal to,less than,greater than,,,C,
"<p>During a refrigeration cycle, heat is rejected by the refrigerant in a</p>",compressor,condenser,evaporator,expansion valve,,B,
<p>A refrigeration system</p>,removes heat from a low temperature body and delivers it to a high temperature body,removes heat from a high temperature body and delivers it to a low temperature body,rejects energy to a low temperature body,none of the above,,A,
<p>The subcooling in a refrigeration cycle</p>,does not alter C.O.P.,increases C.O.P.,decreases C.O.P.,none of these,,B,
<p>Nusselt number (<i>N<sub>N</sub></i>) is given by</p>,"<img src=""/_files/images/mechanical-engineering/heat-transfer-refrigeration-and-air-conditioning/410-83-1.png""/>","<img src=""/_files/images/mechanical-engineering/heat-transfer-refrigeration-and-air-conditioning/410-83-2.png""/>","<img src=""/_files/images/mechanical-engineering/heat-transfer-refrigeration-and-air-conditioning/410-83-3.png""/>","<img src=""/_files/images/mechanical-engineering/heat-transfer-refrigeration-and-air-conditioning/410-83-4.png""/>",,A,
<p>During sensible cooling of air __________ decreases.</p>,wet bulb temperature,relative humidity,dry bulb temperature,specific humidity,,C,
<p>The critical radius is the insulation radius at which the resistance to heat flow is</p>,maximum,minimum,zero,none of these,,B,
"<p>In case of solids, the heat transfer takes place according to radiation.</p>",Correct,Incorrect,,,,B,
<p>A water cooled condenser operates at a __________ condensing temperature than an air-cooled condenser.</p>,higher,lower,,,,B,
<p>The relative humidity decreases as air gets wet.</p>,True,False,,,,A,
<p>The temperature of ammonia after compression in a vapour compression system is</p>,20 to 50° C,50 to 70° C,70 to 110° C,none of these,,C,
